"a","b","c","d","e"
"","B","","D",""
"A","B","","",""
"A","","C","",""
"A","","C","",""
"","","C","D",""
"","B","","",""
"A","","","D",""
"A","","","D",""
"A","","","D",""
"","B","","D",""
"A","","","",""
"","B","","D",""
"A","B","","",""
"","B","","D",""
"A","","C","",""
"A","","","",""
"","B","C","",""
"","","C","D",""
"A","","C","",""
"","B","C","",""
"A","B","","",""
"A","B","","",""
"A","","C","",""
"","B","","D",""
"A","","C","",""
"A","","","",""
"A","","","",""
"A","","","",""
"","B","","",""
"","","C","",""
"A","B","","",""
"A","","C","",""
"A","","","D",""
"","B","","D",""
"","B","","D",""
"A","","C","",""
"A","","C","",""
"","","C","D",""
"A","B","","",""
"","B","","D",""
"A","","","D",""
"A","","C","",""
"","B","","D",""
"A","","C","",""
"","","C","",""
"","B","","D",""
"","B","","D",""
"","B","","D",""
"A","","","",""
"","","C","D",""
"","B","C","",""
"","B","C","",""
"","","","D",""
"","","","D",""
"A","","","",""
"A","","","",""
"","B","","",""
"A","","C","",""
"A","","C","",""
"A","","C","",""
"A","","","D",""
"","","C","",""
"","B","","D",""
"","B","","D",""
"A","","C","",""
"A","","","",""
"","","C","",""
"","B","","D",""
"A","B","","",""
"A","","","D",""
"A","","C","",""
"A","B","","",""
"","","C","",""
"","B","","",""
"A","","","",""
"","B","","D",""
"","","C","D",""
"A","","","D",""
"A","B","","",""
"A","","","",""
"A","B","","",""
"A","","C","",""
