"1. Frage","a","b","c","d","e"
"2. Wer ist für die Aufrechterhaltung der öffentlichen Sicherheit und Ordnung zuständig?","A) Sicherheitsdienst","B) Polizei","C) Bund der Sicherheitswirtschaft","D) Ordnungsamt","."
"3. Was wird unter dem „Privatrecht" verstanden?","A) Das Privatrecht regelt die Rechtsbeziehungen zwischen gleichgestellten natürlichen und juristischen Personen","B) Das Privatrecht legt im Wesentlichen fest, welche Freiheiten, Rechte und Pflichten die Menschen im Verhältnis zueinander haben ","C) Das Privatrecht ist ein Teil des öffentlichen Rechts und regelt die Rechts- beziehungen zwischen Staat und Bürger","D) Das Privatrecht beschreibt die Rechtsfolgen für Straftaten und Ordnungs- widrigkeiten, z. B. Geld- oder Freiheitsstrafen, Geldbuẞen","."
"4. Welche Handlungen sind dem „Öffentlichen Recht“ zuzuordnen?","A) Das Öffentliche Rechts regelt die Rechtsbeziehungen zwischen Staat und Bürger","B) Der Abschluss eines Bewachungsvertrages zwischen einem Bewachungs- unternehmer und einem Auftraggeber ","C) Die Sicherstellung von Beweismitteln durch Polizeivollzugsbeamte zum Zwecke der Strafverfolgung","D) Die Durchführung einer Taschenkontrolle durch eine Wachperson mit ausdrücklicher Zustimmung der betroffenen Person ","."
"5. Was schützt das Grundrecht des „Brief-, Post- und Fernmeldegeheimnisses" gemäß Art. 10 GG?","A) Das Briefgeheimnis schützt jede schriftliche Nachricht, die sich z.B. in einem verschlossenen Kuvert oder in einem Paket befindet ","B) Das Briefgeheimnis schützt Werbeprospekte sowie Zeitungen und Waren- sendungen ","C) Das Fernmeldegeheimnis schützt die individuelle Kommunikation, z. B. mittels Telefon, Funkverkehr und Messenger-Dienste ","D) Das Fernmeldegeheimnis schützt die Inhalte von Websites von Unternehmen und Behörden ","."
"6. Wer gehört in der Bundesrepublik Deutschland zur vollziehenden Gewalt (Exekutive)?","A) Amtsrichter","B) Geschäftsführer eines Bewachungsunternehmens","C) Polizeivollzugsbeamte","D) Ordnungsamt","."
"7. Welche Aussage zum Grundgesetz ist richtig?","A) Das Grundgesetz ist nur für das öffentliche Recht verbindlich und gilt ausschließlich für deutsche Staatsbürger","B) Das Grundgesetz ist die Verfassung der Bundesrepublik Deutschland und steht über allen anderen deutschen Normen, wie z. B. Gesetzen und Rechtsverordnungen","C) Das Grundgesetz kann durch Rechtsverordnungen von Verwaltungsbehörden, z. B. dem Gewerbeamt, eingeschränkt werden","","."
"8. Welches Grundrecht des Grundgesetzes kann durch ein Gesetz eingeschränkt werden?","A) Die Unverletzlichkeit der Wohnung","B) Die Gleichheit vor dem Gesetz","C) Die Menschenwürde","D) Eigentum","."
"9. Welche Hinweise müssen gemäß BewachV in der Dienstanweisung enthalten sein?","A) Der Hinweis, dass Wachpersonen während des Dienstes nur mit Zustimmung des Gewerbetreibenden eine Schuss-, Hieb und Stoßwaffen sowie Reizstoffsprühgeräte führen dürfen","B) Der Hinweis, dass die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beachtet werden muss","C) Der Hinweis, dass Sonderrechte im öffentlichen Straßenverkehr nur bei der Alarmverfolgung zulässig sind","D) Der Hinweis, dass Wachpersonen nicht die Eigenschaft und die Befugnisse von Polizeivollzugsbeamten oder sonstigen Bediensteten einer Behörde besitzen","."
"10. Was sind Bewachungstätigkeiten im Sinne des § 34a GewO?","A) Zugangskontrolle mit erforderlichenfalls Zutrittsverweigerung bei Veranstaltungen wie z. B. Konzerten","B) Ordnerdienste wie z. B. die Parkplatzeinweisung für Besucher eines Fußballspiels","C) Ausschließliche Entgegennahme und Weiterleitung von Alarmmeldungen durch Notrufzentralen","D) Bewachungen im Einlassbereich von gastgewerblichen Diskotheken","."
"11. Türsteher T hat in Notwehr sein Reizstoff-Sprühgerät gegen einen Angreifer eingesetzt. Welche Pflichten haben T und der Gewerbetreibende nach dem Gebrauch der Waffe gemäß BewachV?","A) T muss den Waffeneinsatz innerhalb einer Woche der zuständigen Gewerbebehörde melden","B)  Der Gewerbetreibende muss den Gebrauch der Waffe unverzüglich der zuständigen Gewerbebehörde melden","C) Der Gewerbetreibende muss den Waffeneinsatz der zuständigen Industrie- und Handelskammer melden","D) T muss den Waffeneinsatz unverzüglich der zuständigen Polizeidienststelle und dem Gewerbetreibenden melden","."
"12. Was wird durch die BewachV geregelt?","A) Die Pflicht, gegenüber anderen Betriebs-und Geschäftsgeheimnisse zu wahren und zu schützen","B) Die Berechtigung von Wachpersonen, private Waffen bei Bewachungstätigkeiten in besonderen Gefahrensituationen führen zu dürfen","C) Die Arbeits- und Pausenzeiten im Bewachungsgewerbe","","."
"13. Für welche Tätigkeit ist der Nachweis der Sachkundeprüfung gemäß GewO erforderlich?","A) Zugangskontrolle zu Nachtlokalen","B) Schutz vor Ladendieben","C) Personenschutz","D) Bewachung von Flüchtlingsunterkünften","."
"14. Unter welchen Voraussetzungen dürfen gemäß DS-GVO und BDSG personenbezogene Daten verarbeitet werden?","A) Wenn die betroffene Person ihre Einwilligung zur Verarbeitung der sie betreffenden personenbezogenen Daten für einen oder mehrere bestimmte Zwecke gegeben hat","B) Wenn der Verantwortliche nachweisen kann, dass die betroffene Person in die Verarbeitung personenbezogenen Daten eingewilligt hat","C) Wenn der Betroffene zugestimmt hat. Die Zustimmung ist selbst dann erforderlich, wenn die Verarbeitung zur Erfüllung einer rechtlichen Verpflichtung erforderlich ist, z.B. für die Anmeldung einer Wachperson Bewacherregister","D) Wenn die Verarbeitung personenbezogener Daten automatisiert erfolgen soll, z.b. durch Computer. Einwilligung des Betroffenen ist nicht erforderlich, wenn die personenbezogenen Daten in Akten verarbeitet werden","."
"15. Gemäß DS-GVO und BDSG ist die Verarbeitung „besonderer Kategorien personenbezogener Daten" grundsätzlich untersagt. Welche Informationen zählen hierzu?","A) Freiwillige Telefonbucheintragungen","B) Gesundheitsdaten","C) Eintragungen im Handelsregister","D) Genetische und biometrische Daten","."
"16. Wann gilt die DS-GVO?","A) Sie gilt für die ganz oder teilweise automatisierte Verarbeitung personenbezogener Daten","B) Sie gilt für die Verarbeitung personenbezogener Daten zu familiären Zwecken ohne Bezug zu einer oder wirtschaftlichen Tätigkeit","C) Sie gilt für die nichtautomatisierte Verarbeitung personenbezogener Daten, die in einem Dateisystem sind oder gespeichert werden sollen","D) Sie gilt für die Verarbeitung personenbezogener Daten durch die Strafverfolgungsbehörden zum Zwecke Aufdeckung und Verfolgung von Straftaten 
","."
