"a","b","c","d"
"A","B","",""
"","B","C",""
"A","","C",""
"A","","C",""
"A","","C",""
"A","B","",""
"","","C",""
"","B","C",""
"A","","C",""
"","B","C",""
"","B","",""
"A","","",""
"","","C","D"
"A","","C",""
"A","","","D"
"A","","",""
"","","C",""
"","B","C",""
"A","","","D"
"","B","C",""
"A","B","",""
"","","C","D"
"","B","C",""
"A","B","",""
"","","C","D"
"","","","D"
"A","B","",""
"","B","",""
"","","C",""
"","","C",""
"A","","C",""
"A","","","D"
"A","","C",""
"A","","","D"
"","B","","D"
"","B","C",""
"","B","C",""
"A","","C",""
"A","","",""
"A","","",""
"","","C",""
"A","","",""
"","B","",""
"","B","",""
"","","C",""
"","B","",""
"","","C","D"
"A","","C",""
"","B","","D"
"A","","C",""
"","B","","D"
"","B","","D"
"","B","C",""
"A","","C",""
"","B","C",""
"","B","C",""
"A","","","D"
"A","","",""
"","B","C",""
"","","C","D"
"","","C",""
"","B","",""
"","B","","D"
"A","","","D"
"A","","C",""
"","B","",""
"A","","",""
"A","","","D"
"","B","","D"
"","B","C",""
"","B","","D"
"A","","C",""
"A","","","D"
"","","C","D"
"A","","",""
"","","C","D"
"","B","","D"
"","B","","D"
"","B","C",""
"","B","",""
"","B","",""
"A","","",""
