"84. Frage","a","b","c","d","."
"1. Die Verhältnismäßigkeit der Mittel ist bei der Inanspruchnahme der so genannten Jedermannsrechte stets zu achten.
Welche Aussagen zum Grundsatz der Verhältnismäßigkeit sind richtig?","A) Es ist von mehreren geeigneten Mitteln dasjenige zu wählen, das den von der Maßnahme Betroffenen am geringsten beeinträchtigt","B) Eine Gewaltanwendung ist dann zu beenden, wenn ihr Zweck erreicht ist oder sich zeigt, dass diese Maßnahme nicht erfolgreich sein wird","C) Bei der Anwendung der Jedermannsrechte ist es egal, welches Mittel angewendet wird, Hauptsache, der Erfolg stellt sich ein","D) Es ist immer das Mittel anzuwenden, das garantiert zum Erfolg führt","."
"2. Welche Aussagen treffen auf den Begriff „Grundrechte“ zu?","A) Grundrechte gelten absolut und können nicht eingeschränkt werden","B) Die Grundrechte stellen eine objektive Werteordnung dar, die als Richtschnur für alles staatliche Handeln gilt","C) Der Bürger kann seine Grundrechte notfalls gerichtlich durchsetzen, weil die Staats- gewalten an die Grundrechte gebunden sind und diese achten sowie schützen müssen",".","."
"3. Welche der folgenden Rechte sind Grundrechte?","A)  Unverletzlichkeit der Wohnung","B) Recht auf Strafverfolgung","C) Gleichheit vor dem Gesetz","D) Bürgerliches Recht","."
"4. Was unterscheidet die Polizei vom Sicherheitsgewerbe?","A) Die Polizei ist Ländersache. Sie arbeitet auf der Grundlage der Polizeigesetze der Länder","B) Das Sicherheitsgewerbe erfüllt nur Präventivaufgaben","C) Das Sicherheitsgewerbe wird im privaten Bereich tätig","D) Private Sicherheitsmitarbeiter haben den Status von Hilfsbeamten der Staatsanwaltschaft","."
"5. Welche Rechtsbereiche werden dem privaten Recht zugeordnet?","A) B) Arbeitsrecht","B) Gewerberecht.","C) Handelsrecht","D) Sozialrecht","."
"6. Welches Grundrecht kann durch ein Gesetz nicht eingeschränkt werden?","A) Die Gleichheit vor dem Gesetz","B) Die Menschenwürde","C) Das Eigentum","D) Die Freiheit","."
"7. Wer hat in der Bundesrepublik Deutschland die Aufgabe, Gesetze und Rechtsverordnungen auszuführen und umzusetzen?","A) Die Legislative, z. B. der Bundesrat","B) Die Judikative, z. B. die Amtsgerichte","C) Die Exekutive, z. B. die Verwaltungsbehörden","","."
"8. Ein Gewerbetreibender erhält von einem Kaufhausbetreiber den Auftrag, dessen Geschäft vor Ladendieben zu schützen. Mit welchen Nachweisen darf die Bewachungstätigkeit zum „Schutz vor Ladendieben" gemäß § 34a GewO ausgeübt werden?","A) Mit der Bescheinigung über die 40-stündige Unterrichtung nach § 34a GewO","B) Mit einem anerkannten Prüfungszeugnis, z.B. der Abschluss für den mittleren Polizeivollzugsdienst","C) Mit dem Nachweis, dass vor einer IHK die Sachkundeprüfung gemäß § 34a GewO erfolgreich abgelegt wurde","D) Mit dem Nachweis eines erfolgreich abgelegten Jurastudiums","."
"9. Welche Bewachungstätigkeiten dürfen Wachpersonen ausüben, die über einen Unterrichtungsnachweis gemäß BewachV verfügen?","A) Geld- und Werttransport","B) Schutz vor Ladendieben","C) Bewachung von zugangsgeschützten Großveranstaltungen in nicht leitender Funktion","D) Kontrollgänge im öffentlichen Verkehrsraum","."
"10. Wann besitzt in der Regel eine Wachperson gemäß § 34a GewO nicht die erforderliche Zuverlässigkeit?","A) Wenn sie wegen fahrlässiger Körperverletzung zu einer Geldstrafe von 90 Tagessätzen rechtskräftig verurteilt wurde","B) Wenn sie Mitglied in einer verfassungsfeindlichen Partei war und seit Beendigung der Mitgliedschaft zehn Jahre noch nicht verstrichen sind","C) Wenn sie wegen eines Vergehens gegen das WaffG rechtskräftig zu einer Freiheitsstrafe verurteilt wurde und seitdem noch keine fünf Jahre verstrichen sind","D) Wenn sie Mitglied in einer zugelassenen politischen Partei ist und aktiv die Verfolgung der politischen Ziele unterstützt","."
