Frage,a,b,c,d,e
1. Welche Aussage/n zur Anwendung von privater Gewalt ist/sind richtig?,A) Gewaltanwendung im Privatrecht ist nur in gesetzlich definierten Ausnahmesituationen zulässig,B) Gewaltanwendung ist als äußerstes Mittel der Machtausübung nur den staatlichen Organen vorbehalten,"C) Gewaltanwendung, z. B. gegen einzelne Personen, darf nur aufgrund eines Gesetzes erfolgt werden",D) Der Staat darf in Ausnahmefällen zur Aufrechterhaltung der öffentlichen Sicherheit auch ohne gesetzliche Grundlage Gewalt anwenden,.
2. Was sind hoheitliche Rechte?,A) Die Kontrolle eines Rucksacks bei einem Stadionbesucher durch eine Wachperson. Die Kontrolle erfolgt mit Einwilligung des Betroffenen,B) Die Sicherstellung und Beschlagnahme von Beweismitteln beim Beschuldigten durch einen Staatsanwalt,"C) Die Befragung eines auf frischer Tat betroffenen Täters auf freiwilliger Basis durch eine Wachperson, z .B. nach einem Ladendiebstahl",D) Die Durchsuchung der Wohnung eines Tatverdächtigen zum Zwecke seiner Ergreifung durch Polizeibeamte,.
"3. Im Grundgesetz steht, dass die „Freiheit der Person"" unverletzlich ist. Welche Aussagen dazu sind richtig?",A) Eingriffe in die Freiheit der Person dürfen nur durch Hoheitsträger wie die Polizei vorgenommen werden,"B) Dieses Grundrecht erlaubt es jeder Person, jeden beliebigen Ort in Deutschland aufzusuchen",C) In der Regel ist bei jeder natürlichen Person deren körperliche Bewegungsfreiheit geschützt,"D) Eingriffe in die Freiheit der Person sind nur aufgrund eines Gesetzes zulässig, z.B. der StPO",.
4. Welche Aussagen zur Polizei in Deutschland sind richtig?,A) Die Polizei ist ausschließlich Sache des Bundes,B) Die Polizei ist zuständig für die Aufrechterhaltung der Betriebssicherheit in Unternehmen,C) Die Polizei ist grundsätzlich Sache der Bundesländer,D) Die Polizei ist von Amts wegen zur Strafverfolgung und Entgegennahme von Strafanzeigen verpflichtet,.
5. Wer muss gemäß BewachV ein Schild (Kennschild/Namensschild) tragen?,"A) Wachpersonen , die die Bewachungstätigkeit „Geld- und Werttransport "" durchführen","B) Wachpersonen, die die Bewachungstätigkeit „Schutz vor Ladendieben"" durchführen","C) Wachpersonen, die in nicht-leitender Funktion Asylunterkünfte bewachen, z.B. im Eingangsbereich","D) Gewerbetreibende, die als Wachperson tätig werden und die Bewachungstätigkeit „Kontrollgänge im öffentlichen Verkehrsraum "" durchführen",.
"6. Eine Person möchte sich selbstständig machen. Welche Unterlagen benötigt unter anderem die Erlaubnisbehörde, um den Antrag auf Erteilung einer Bewachungserlaubnis gemäß § 34a GewO zu prüfen?",A) Ein persönliches Führungszeugnis zur Überprüfung der Zuverlässigkeit des Antragstellers,B) Eine unbeschränkte Auskunft aus dem Bundeszentralregister zur Überprüfung der Zuverlässigkeit des Antragstellers,C) Die Bescheinigung über die Teilnahme am Unterrichtungsverfahren,D) Den Nachweis der erforderlichen Sachkundeprüfung für das Bewachungsgewerbe,.
7. Müssen Wachpersonen ihren Ausweis gemäß BewachV sichtbar tragen?,"A) Ja, während des Wachdienstes. Diese Tragepflicht entfällt allerdings, wenn die Wachpersonen ein Kennschild bzw. ein Namensschild sichtbar tragen","B) Nein, während des Wachdienstes müssen Wachpersonen den Ausweis mitführen und auf Verlangen den Beauftragten der Vollzugsbehörden vorzeigen","C) Ja, während des Wachdienstes . Dies gilt aber nur für sachkundepflichtige Bewachungstätigkeiten wie „Kontrollgänge im öffentlichen Vekehrsraum""","D) Ja, während des Wachdienstes . Ausgenommen davon ist der „Personenschutz"". Personenschützer müssen den Ausweis nur mitführen",.
8. Gemäß BewachV muss der Gewerbetreibende den Wachdienst durch eine Dienstanweisung regeln. Welche Hinweise müssen in der Dienstanweisung enthalten sein?,"A) Der Hinweis, dass Wachpersonen nicht die Eigenschaft und die Befugnisse von Polizeivollzugsbeamten oder sonstigen Bediensteten einer Behörde besitzen","B) Der Hinweis, dass Wachpersonen während des Dienstes nur mit Zustimmung des Gewerbetreibenden eine Schusswaffe, Hieb- und Stoßwaffen sowie Reizstoffsprühgeräte führen dürfen","C) Der Hinweis, dass Wachpersonen bei allen Bewachungstätigkeiten mit Ausnahme der Tätigkeit „Schutz vor Ladendieben"" Dienstkleidung tragen müssen","D) Der Hinweis, dass Wachpersonen bei allen Bewachungstätigkeiten ein Namensschild tragen müssen",.
"9. Was sind gemäß DS-GVO „besondere Kategorien personenbezogener Daten""?","A) Politische Meinungen, weltanschauliche Überzeugungen","B) Kennzeichen am PKW, Kfz-Versicherung","C) Gewerkschaftszugehörigkeit, Gesundheitsdaten","D) Geburtsort, Name, Vorname, Geburtsdatum",.
"10. Ist es im Sinne der DS-GVO einer Wachperson gestattet, im Rahmen der Zutrittskontrolle zu einem Wachobjekt die personenbezogenen Daten von Besuchern zu erheben?","A) Nein, dies ist verboten","B) Ja, wenn der Besucher für diesen konkreten Fall freiwillig und nach ausreichender Information unmissverständlich zugestimmt hat","C) Ja, ohne Einschränkungen","D) Ja, wenn der Auftraggeber die Datenerhebung zwingend als Voraussetzung für das Betreten des Wachobjektes vorschreibt",.
