a,b,c,d,e
,B,C,,
,B,C,,
A,,,D,
A,,C,,
,B,C,,
,,,D,
,B,,D,
,B,,,E
A,,,,
A,B,,,
A,B,,,
A,B,,,
A,,C,,
,,C,D,
,B,C,,
,B,C,,
A,,,D,
,B,C,,
A,,C,,
,B,,D,
,,C,,
A,B,,,
A,B,,,
A,B,,,
A,B,,,
A,,C,,
,B,C,,
A,,C,,
A,,,D,
,,C,,
A,B,,,
A,,C,,
A,,C,,
A,,C,,
A,B,,,
,B,C,,
A,B,,,
A,,,D,
A,,,D,
,B,,D,
A,,,D,
A,,,D,
,,C,D,
,B,,D,
,,C,,
A,,,,
A,,C,,
,B,,D,
A,,C,,
A,,C,,
A,,,D,
A,,C,,
A,,,D,
,,C,D,
A,,,D,
,B,,D,
,B,,D,
,B,C,,
,B,,,
A,,C,,
A,,,D,
,,C,D,
,,C,,
,,C,,
,,C,D,
A,,,,
,B,,,
,,C,,
A,B,,,
A,,C,,
,B,C,,
A,,,D,
