Frage,a,b,c,d,e
1. Zum sogenannten öffentlichen Recht zählt/ zählen nicht das…,A) …Waffenrecht,B) …Gewerberecht,C) …Mietrecht,D) …Vertragsrecht,.
2. Die im Grundgesetz normierten Grundrechte…,A) …sind individuelle Rechte des Einzelnen,"B) …binden Gesetzgebung, vollziehende Gewalt und Rechtsprechung",C) …gelten sämtlich absolut und uneingeschränkt,D) …können jederzeit durch Behörden eingeschränkt werden,E) …gelten gleichermaßen alle uneingeschränkt für Ausländer und Deutsche
"3. Welche der nachstehenden Formulierungen beschreibt den Begriff „Recht""?","A) Recht ist die Gesamtheit aller staatlichen Vorschriften, die ein gedeihliches Zusammenleben der Menschen eines Territoriums ermöglichen soll",B) Rechte werden überliefert oder ererbt- Im Allgemeinen gilt in der Rechtsordnung das Recht des Stärkeren,"C) Wir unterscheiden im Wesentlichen das Recht in die Bereiche Arbeitsrecht, Hausrecht und Familienrecht",.,.
4. Was kennzeichnet die Stellung der Polizei in Deutschland?,A) Die Polizei ist grundsätzlich Sache des Bundes,B) Die Polizei wird gleichzeitig und gleichberechtigt zusammen mit privaten Sicherheitsmitarbeitern tätig,C) Die Polizei ist grundsätzlich Ländersache,D) Die Polizei ist zuständig für die Einhaltung von Recht und Ordnung innerhalb befriedetem Besitztums,.
5. Ist das Bewachungsgewerbe im Sinne der Gewerbeordnung anzeige- oder erlaubnispflichtig?,"A) Es genügt, wenn der selbstständige Betrieb des Bewachungsgewerbes der zuständigen Behörde angezeigt wird","B) Wer gewerbsmäßig Leben oder Eigentum fremder Personen bewachen will, bedarf der Erlaubnis der zuständigen Behörde","C) Das Bewachungsgewerbe ist nur dann erlaubnispflichtig, wenn sachkunde-pflichtige Bewachungsaufgaben durchgeführt werden sollen",.,.
6. In	welchem	Gesetz wird die Gewerbefreiheit	in der Bundesrepublik Deutschland gewährleistet?,A) Strafgesetzbuch (StGB),B) Gewerbeordnung (GewO),C) Bewachungsverordnung (BewachV),D) Bürgerliches Gesetzbuch (BGB),E) Handelsgesetzbuch (HGB) 
7. In welchen Rechtsvorschriften ist das private Bewachungsgewerbe geregelt?,A) Im Grundgesetz,B) In den Unfallverhütungsvorschriften,C) In der Bewachungsverordnung,D) Im Privatrecht,E) In der Gewerbeordnung
8. Welche der folgenden Grundrechte sind für die Wachbranche relevant?,A) Recht auf Menschenwürde,B) Freizügigkeit,C) Unverletzlichkeit der Wohnung,.,.
9. Abgesehen von datenschutzrechtlichen Spezialregelungen in anderen Gesetzen. Ist für die ordnungsgemäße Erhebung und Verarbeitung von Daten In Deutschland grundsätzlich zu beachten:,A) das Grundgesetz,B) das Bürgerliche Gesetzbuch,C) das Strafgesetzbuch,D) das Bundesdatenschutzgesetz,.
10. Zur Abwehr von Gefahren für die öffentliche Sicherheit sowie zur Verfolgung von Straftaten sind durch Videoüberwachung personenbezogene Daten aufgezeichnet und gespeichert worden? Welche Aussage(n) ist (sind) richtig?,"A) Diese Daten können unbegrenzt gespeichert werden, um auch für künftige Ermittlungen genutzt zu werden","B) Diese Daten sind unverzüglich zu löschen, wenn der Zweck der Maßnahme erreicht worden ist",C) Diese Daten sind spätestens innerhalb einer Frist von sechs Wochen zu löschen,.,.
