a,b,c,d,
,,C,D,
A,B,,,
A,,,,
,,C,,
,B,,,
,B,,,
,,C,,E
A,,C,,
,,,D,
,B,,,
A,B,,,
A,,C,,
,B,,D,
A,B,,,
A,,,,
A,,C,,
A,,C,,
,,C,D,
,,C,D,
A,,,,
,,C,,
,,C,,E
A,B,,,
,B,C,,
A,,,,
,,,D,E
,B,C,,
,B,C,,
A,,C,,
,B,,D,
A,,,,E
A,,,,
,B,C,,
A,B,,,
,,,D,
,B,,,E
,B,,D,
A,,,,
,B,,,
A,B,,,
A,,,,
A,,C,,
A,,,D,
A,B,,,
A,B,,,
,,C,,
,,,D,
A,,,,
A,,,D,
,B,,D,
A,,,D,
A,,,D,
,B,,D,
,B,,,
,B,,,E
,B,C,,
,,,D,
A,,,D,
,B,,D,
,B,C,,
A,,C,,
A,,C,,
,,C,,
,B,,D,
,,C,,
,B,C,,
,B,,,
,B,,,
A,,C,,
,B,,,
,,C,,
A,B,,,
