Frage,a,b,c,d,
1. Der Bewachungsgewerbetreibende und seine Beschäftigten dürfen bei der Durchführung von Bewachungsaufgaben gegenüber Dritten bestimmte Rechte eigenverantwortlich ausüben. Um welche Rechte handelt es sich?,A) Gesetzlich übertragene Rechte aufgrund einer Beleihung,B) Beschlagnahme von Diebesgut,C) Verkehrsregelung nach Verkehrsunfällen,D) Notwehr- und Notstandsrechte,.
2. Im deutschen Rechtssystem sind Rechtfertigungsgründe verankert. Was ist deren Sinn und Zweck?,A) Sie können unerlaubtes Handeln rechtfertigen,B) Sie können verbotenes Handeln entschuldigen,C) Sie können strafbares Handeln rechtfertigen,D) Sie können ordnungswidriges Handeln entschuldigen,.
3. Die Bundesrepublik Deutschland ist gemäß Grundgesetz ein Bundesstaat. Was bedeutet dies im Sinne des Föderalismus?,A) Im Bundesstaat sind die staatlichen Aufgaben zwischen Bund und Ländern aufgeteilt. Die Länder haben z.B. im Polizei und Sicherheitsrecht eigene Gesetzgebungskompetenzen,B) Der Bundesstaat wird zentral von der Hauptstadt Berlin aus regiert. Alle politischen Entscheidungen gelten einheitlich für die Bundesrepublik Deutschland,C) Nur der Bund als Zentralstaat darf Gesetze beschließen und verabschieden. Die Bundesländer müssen diese Gesetze ausführen,D) Die Bundesländer wirken über den Bundesrat bei der Gesetzgebung mit,.
4. Welche grundsätzlichen Aussagen zum Bundes- und Landesrecht in der Bundesrepublik Deutschland sind richtig?,A) Das Bundesrecht bricht Landesrecht,B) Das Landesrecht umfasst z.B. das Polizeirecht,C) Das Bundesrecht und das Landesrecht sind gleichgestellt,D) Das Bundesrecht betrifft nur das Straf- und Gewerberecht,.
"5. Müssen Sie als Wachperson Vorgaben beachten, wenn bei der Erfüllung Ihrer Aufgaben die Anwendung von Gewalt notwendig ist?","A) Ja, ich muss die Grundsätze der Erforderlichkeit und der Verhältnismäßigkeit beachten","B) Ja, ich hole vorher von meinem Auftraggeber die Erlaubnis für die Anwendung von Gewalt ein, um mich gegen spätere Schadensersatzansprüche abzusichern.","C) Nein, ich muss keine Vorgaben beachten, wenn ich erkennen kann, dass obrigkeitliche Hilfe, z. B. durch die Polizei, nicht zu erwarten ist.",,
6. Was regelt das öffentliche Recht?,A) Die Rechtsbeziehungen zwischen dem Staat und seinen Bürgern,B) Die Rechtsbeziehungen zwischen den Bürgern untereinander,"C) Die Rechtsbeziehungen zwischen den Staaten untereinander, z. B. innerhalb Europas",,
7. Welches Grundrecht kann durch ein Gesetz eingeschränkt werden?,A) Die Gleichheit vor dem Gesetz,B) Das Eigentum,C) Die Menschenwürde,,
8. Wann besitzt in der Regel eine Wachperson gemäß § 34a GewO nicht die erforderliche Zuverlässigkeit?,A) Wenn sie wegen fahrlässiger Körperverletzung zu einer Geldstrafe von 90 Tagessätzen rechtskräftig verurteilt wurde,B) Wenn sie Mitglied in einer verfassungsfeindlichen Partei war und seit Beendigung der Mitgliedschaft zehn Jahre noch nicht verstrichen sind,C) Wenn sie wegen eines Vergehens gegen das WaffG rechtskräftig zu einer Freiheitsstrafe verurteilt wurde und seitdem noch keine fünf Jahre verstrichen sind,D) Wenn sie Mitglied in einer zugelassenen politischen Partei ist und aktiv die Verfolgung der politischen Ziele unterstützt,.
9. Für welche Bewachungstätigkeiten benötigen Wachpersonen die Bescheinigung über das Unterrichtungsverfahren gemäß § 34a GewO?,A) Bewachung von zugangsgeschützten Großveranstaltungen in leitender Funktion,"B) Personenschutz, unabhängig von öffentlichem oder nicht-öffentlichem Verkehrsraum",C) Kontrollgänge auf U-Bahnhöfen und in S-Bahnen sowie in Empfangshallen von Flughäfen,D) Einsatz als sogenannte Wellenbrecher vor der Bühne zum Schutz der Musiker,
10. Welche Angaben muss der Firmenausweis von Sicherheitsmitarbeitern gemäß BewachV enthalten?,"A) Gültigkeitsdauer, Lichtbild des Gewerbetreibenden; Name, Vorname des Sicherheitsmitarbeiters sowie seine Zugehörigkeit zur Gewerkschaft","B) Name, Vorname und Unterschrift des Sicherheitsmitarbeiters; Name, Anschrift und Unterschrift des Gewerbetreibenden oder seines Vertreters","C) Name, Vorname des Sicherheitsmitarbeiters; Gültigkeitsdauer des Ausweises, Privatanschrift und Geburtsdatum des Sicherheitsmitarbeiters","D) Bezeichnung und Anschrift des Gewerbebetriebes, Bewacherregister- identifikationsnummer des Gewerbebetriebes und der Wachperson",.
"11. Wo müssen Sie gemäß BewachV vom Bewachungs-Gewerbetreibenden angemeldet werden, bevor Sie mit Bewachungsaufgaben beschäftigt werden dürfen?",A) Bei der örtlichen Industrie- und Handelskammer,B) Bei der zuständigen Berufsgenossenschaft,C) Beim Bewacherregister,,
12. Für welche Bewachungstätigkeit ist für Sie als Wachperson der Nachweis der Unterrichtung gemäß BewachV ausreichend?,A) Wenn ich Kontrollgänge auf einem öffentlichen Markt durchführe.,"B) Wenn ich bei Musikveranstaltungen verhindern soll, dass Fans die Bühne betreten.",C) Wenn ich als Ladendetektiv Diebstähle in einem Elektromarkt verhindern soll.,,
"13. Eine Wachperson het einen Fahrgast ohne gültigen Fahrschein angetroffen. Die Wachperson will die personenbezogenen Daten des Fahrgastes erheben. Was muss die Wachperson gemäß DS-GVO beachten, damit diese Maßnahme rechtmäßig ist?",A) Für diese Maßnahme muss eine Erlaubnis der zuständigen Sicherheitsbehörde vorliegen,B) Diese Vorgehensweise muss mit dem Auftraggeber vertraglich vereinbart sein,C) Der Fahrgast muss in die Erhebung seiner personenbezogenen Daten einwilligen,"D) Die Wachperson muss nachweisen können, dass der Fahrgast mit der Erhebung seiner Daten einverstanden war, z.B. durch eine schriftliche Erklärung",.
14. Welche Aussagen zur Videoüberwachung im Sinne des BDSG sind richtig?,A) Die Vorschriften des BDSG gelten auch für die Videoüberwachung innerhalb der Wohnung natürlicher Personen,"B) Die Videoüberwachung öffentlich zugänglicher Räume zur „Wahrnehmung des Hausrechts"" dient der Verhinderung und Aufklärung von Straftaten","C) Auf die Videoüberwachung muss hingewiesen werden. Ausreichend hierfür ist die Anbringung eines Bildsymbols ,,Videoüberwachung "" im Eingangsbereich",D) Die Videoüberwachung ist zulässig zur Überwachung des Verhaltens und der Arbeitsleistung von Beschäftigten,.
"15. Das BDSG verpflichtet dazu, das Datengeheimnis zu schützen. Was ist damit gemeint?",A) Mit der Datenverarbeitung befasste Personen dürfen personenbezogene Daten nur befugt verarbeiten,B) Das Datengeheimnis dient dem Schutz und der unbefugten Kenntnisnahme von Geschäftsgeheimnissen,"C) Wenn die mit der Verarbeitung personenbezogener Daten betrauten Personen ihre Tätigkeit beenden, besteht das Datengeheimnis fort",D) Mit der Datenverarbeitung beauftragte Personen müssen auf das Datengeheimnis verpflichtet werden . Dies gilt in ganz Europa,.
"16. Wann ist es gemäß DS-GVO zulässig, dass der Bewachungs-Gewerbetreibende bei Ihnen personenbezogene Daten erhebt?",A) Wenn die zuständige Landesbehörde für Datenschutz den Grund der Datenerhebung zuvor überprüft hat und der Erhebung schriftlich zustimmt.,"B) Wenn der betriebliche Datenschutzbeauftragte der Verarbeitung zugestimmt hat und er bestätigt, dass alle technischen Sicherheitsstandards eingehalten werden.","C) Wenn ich in die Verarbeitung meiner personenbezogenen Daten für einen bestimmten Zweck eingewilligt habe, z. B. für den Abschluss des Arbeitsvertrages.",,
17. Wie lange dürfen Videoaufzeichnungen aufbewahrt werden?,A) Zeitlich unbegrenzt,"B) Bis zum Erreichen des damit verfolgten Zwecks, nicht länger",C) Maximal 2 Jahre,,
18. Was unterscheidet die Notwehr gemäß § 32 StGB von der Notwehr gemäß § 227 BGB?,§ 32 StGB: Eine rechtmäßige Notwehrhandlung beseitigt die Rechtswidrigkeit der Handlung und schließt eine Bestrafung aus.,§ 227 BGB: Eine rechtmäßige Notwehrhandlung beseitigt die Widerrechtlichkeit der Handlung und schließt eine Schadenshaftung aus.,"Der Angriff nach § 32 StGB muss schuldhaft sein, der Angriff nach § 227 BGB muss rechtswidrig sein.",Die Notwehr nach § 32 StGB ist nur zulässig gegen strafbare Handlungen. Die Notwehr nach § 227 BGB ist nur zulässig gegenüber unerlaubten Handlungen.,
"19. Anlässlich einer Behältniskontrolle stellt eine Wachperson fest, dass ihm ein persönlich bekannter Betriebsangehöriger firmeneigene Geräte übergeben möchte. Welche Aussage zur Notwehr gemäß § 227 BGB ist richtig?","Die Wachperson darf in dieser Notsituation nach ihrem Ermessen entscheiden, ob sie die Übergabe der Geräte als Bargeld annimmt.",Das Firmeninventar kann durch Notwehr verteidigt werden. Der Betriebsangehörige muss die Geräte herausgeben.,"Es handelt sich um Notwehr in Form der Nothilfe, denn die Geräte sind nicht Eigentum der Wachperson.","Die Wachperson darf keine Notwehrhandlung vornehmen, weil der Angriff auf das firmeneigene Gerät nicht gegenwärtig ist.",
20. Wovon kann die Gefahr beim Verteidigungsnotstand gemäß BGB ausgehen?,von Sachen,von Naturereignissen,von Menschen,von Tieren,
21. Welche Aussagen zum Angriffsnotstand gemäß § 904 BGB und zum Defensivnotstand gemäß § 228 BGB sind richtig?,"Beim Defensivnotstand geht es darum, sich gegen Angriffe eines Menschen zu verteidigen.","Beim Angriffsnotstand wird auf einen Gegenstand eingewirkt, von dem keine Gefahr ausgeht.","Beim Defensivnotstand richtet sich die Einwirkung gegen die Sache, von der die Gefahr ausgeht.","Beim Angriffsnotstand geht es darum, den Angriff eines gewalttätigen Menschen abzuwehren.",
22. Welche Aussagen zum Angriffsnotstand gemäß § 904 BGB sind richtig?,Die Gefahr darf nur von eigenen Rechtsgütern abgewendet werden.,Die Gefahr muss gegenwärtig sein.,Ein Anspruch auf Schadensersatz ist ausgeschlossen.,"Es wird auf fremde Sachen eingewirkt, von denen die Gefahr nicht ausgeht.",
23. Welche Rechtfertigungsgründe stehen im BGB?,die allgemeine Selbsthilfe,der Defensivnotstand,der entschuldigende Notstand,der rechtfertigende Notstand,
"24. Dürfen Wachpersonen über Ausrüstungsgegenstände, die sie vom Gewerbetreibenden für die Dienstausübung erhalten haben, nach eigenem Willen frei verfügen?","Ja. Mit der Übergabe der Sachen dürfen sie über diese frei verfügen, da sie nun als unmittelbarer Besitzer gelten.",Nein. Sie dürfen die Sachen nur gemäß den Weisungen des Gewerbetreibenden benutzen.,Nein. Sie verfügen als Besitzdiener nicht über die gleichen Rechte wie der Gewerbetreibende als Besitzer.,"Ja. Dies gilt dann, wenn die Wachpersonen über die Ausrüstungsgegenstände die tatsächliche Gewalt ausüben.",
