Frage,a,b,c,d,,
1. Was verstößt gegen die Rechtsordnung der Bundesrepublik Deutschland?,A) Die Bestrafung einer Person mit einer mehrjährigen Freiheitsstrafe ohne gesetzliche Grundlage,"B) Die Erzwingung eines Geständnisses durch Anwendung von Folter, z. B. durch Schläge",C) Die Verweigerung der Erteilung einer Erlaubnis für das Bewachungsgewerbe aufgrund Unzuverlässigkeit des Antragstellers,D) Die Sicherstellung von Gegenständen zu Beweiszwecken durch die Polizei,.,
"2. Welche Institutionen zählen zur ""gesetzgebenden Gewalt""?",A) Die Staatsanwaltschaft ,B) Der Bundestag,C) Der Bundesrat ,D) Die Regierungen der Bundesländer ,.,
3. Welches sind im Grundgesetz verankerte Verfassungsprinzipien Deutschlands?,A) Monarchie,B) Rechtsstaat,C) Umweltschutz,D) Demokratie,.,
4. Das deutsche Strafrecht…,"A) ist Teil des privaten Rechts, weil es die Rechtsbeziehungen zwischen Bürger und Bürger regelt.",B) setzt für die Strafbarkeit immer eine vollendete Rechtsgutverletzung voraus.,"C) setzt für die Strafbarkeit immer ein willensgesteuertes Verhalten eines Täters voraus, dass aus einem Aktiven Tun aber auch aus einem Unterlassen bestehen kann.",D) kennt die beiden Strafarten Freiheitsstrafe und Geldstrafe.,.,
5. Welche Angaben muss der ausweis gemäß bewachv beinhalten?,A) Geburtsdatum der Wachperson,B) Namen und Anschrift des Gewerbetreibenden,C) Bewacherregisteridentikationnummern der Wachperson und des Bewachungsunternemers,D) Wohnanschrift der Wachperson,E) Unerschrift des Auftraggebers,.
6. Was ist ein Bewachungsgewerbe nach §34a GewO?,A) Wer gewerbsmäßig Ermittlungen für fremde ausführt,B)  Wer gewerbsmäßig fremdes Leben oder Eigentum schützt,C) Wer fremdes Leben oder Eigentum schützt,D) Wer gewerbsmäßig das eigene Leben oder Eigentum schützt,.,
"7.Was muss ein Unternehmer beachten, wenn er ein Sicherheitsunternehmen eröffnen will?",A) Prüfung durch das Bundeskriminalamt durchführen lassen (BKA),B) Haftpflichtversicherung abschließen,C) Ausreichende finanzielle Mittel für die ersten 12 Monate nachweisen,D) geordnete Vermögensverhältnisse,.,
8.Wie nennt man die Zulassung eines Unternehmens um im Sicherheitsbereich tätig werden zu dürfen?,A) Bewachungserlaubnis,B) Schutzerlaubnis,C) Sicherheitsdiensterlaubnis,D) gewählt Wacherlaubnis,.,
9. Was ist Sinn des BDSG?,A) Er schützt nur geheime Firmendaten.,B) Es soll Schutz vor Missbrauch personenbezogener Daten bieten.,C) Es schützt die informationelle Selbstbestimmung.,"D)  Es schützt Daten des Bundes, deswegen heißt es ja BDSG.",.,
10. Was ist eine nicht-öffentliche-Stelle?,A) jede natürliche Person,B) juristische Personen sind i.d.R auch nichtöffentliche Stellen,C) Bundeszentralregister,D)  Agentur für Arbeit,.,
