Frage,a,b,c,d,e
1. Das öffentliche Recht regelt ...,A) die Voraussetzungen für die Strafbarkeit menschlichen Fehlverhaltens,B) die Rechtsbeziehungen von natürlichen und juristischen Personen untereinander,C) die Rechtsbeziehungen der Bürger zum Staat und zu seinen Einrichtungen,D) die Schadensersatzpflicht nach unerlaubten Handlungen,.
2. Welches sind im Grundgesetz geschützte Rechtsgüter?,A) Ehre,B) Vertragsrechte,C) Freiheitsrechte,D) Streitrechte,.
3. Welche Aussagen zur Menschen zur Menschenwürde gemäß Art. 1 GG sind richtig? ,"A) Menschenwürde wird verletzt, wenn ein Arbeitskollege durch einen anderen schikaniert wird.",B) Menschenwürde ist unantastbar und kann laut GG niemals aufgehoben werden.,"C) Die Menschenwürde wird verletzt, wenn eine Person während einer polizeilichen Vernehmung gefoltert wird.","D) Die Menschenwürde wird verletzt, wenn aufgrund eines rechtskräftigen Strafurteils eine Freiheitsstrafe vollstreckt wird.",.
4. Welche Aussagen zur Menschenwürde sind gemäß Art. 1 Grundgesetz richtig?,"A) Geschützt ist jeder Mensch, der sich im Geltungsbereich des GG aufhält, z. B. minderjährige Kinder, Straftäter und Ausländer",B) Geschützt sind ebenso juristische Personen und die Menschheit.,"C) Der Staat ist verpflichtet, die Menschenwürde zu achten und zu schützen. ","D) Durch die Menschenwürde sind nur die höchsten Grundrechte ""Recht auf Leben"" und ""Recht auf körperliche Unversehrtheit"" geschützt.",.
"5. Türsteher T hat in Notwehr sein Reizstoff-Sprühgerät gegen einen Angreifer eingesetzt. 
Welche Pflichten haben T und der Gewerbetreibende nach dem Gebrauch der Warte gemäß BewachV? 
",A) T muss den Waffeneinsatz innerhalb einer Woche der zuständigen Gewerbebehörde melden ,B) Der Gewerbetreibende muss den Gebrauch der Waffe unverzüglich der zuständigen Gewerbebehörde melden ,C) Der Gewerbetreibende muss den Waffeneinsatz der zuständigen Industrie- und Handelskammer melden ,D) T muss den Waffeneinsatz unverzüglich der zuständigen Polizeidienststelle und dem Gewerbetreibenden melden ,.
6. Für welche Tätigkeiten ist der Nachweis der Sachkundeprüfung gemäß GewO erforderlich?,"A) Revierdienst und Alarmverfolgung
",B) Objekt- und Personenschutz,C) Kontrollgänge im öffentlichen Verkehrsraum,D)  Ordnungsdienst bei Veranstaltungen,.
7. Was muss ein Dienstausweis gemäß der Bewachungsverordnung (BewachV) beinhalten?,A) Namen und Anschrift des Ausweisinhabers,B) Namen und Vornamen des Ausweisinhabers,C) Namen und Vornamen des Gewerbetreibenden,D) Namen und Anschrift des Gewerbetreibenden,.
"8.  Wann darf eine Person gemäß BewachV mit Bewachungsaufgaben beschäftigt werden?
","A) Wenn sie das 18. Lebensjahr vollendet hat und einen Unterrichtungsnachweis vorlegen kann
",B)  Wenn sie eine abgeschlossene Berufsausbildung außerhalb des privaten Sicherheitsgewerbes nachweisen kann,C)  Wenn sie die erforderliche Zuverlässigkeit besitzt,D)  Wenn sie den Hauptschulabschluss nachweisen kann,.
9. Welche Aussagen zu den betrieblichen und behördlichen Datenschutzbeauftragten sind gemäß BDSG und DS-GVO richtig?,A) Alle öffentlichen Stellen müssen grundsätzlich einen Datenschutzbeauftragten benennen. Davon ausgenommen sind z. B. Gerichte.,B) Die Datenschutzbeauftragten müssen festgestellte Verstöße gegen den Datenschutz unverzüglich dem jeweiligen Landesbeauftragten für Datenschutz anzeigen.,"C) Alle nichtöffentlichen Stellen müssen, unabhängig von der Zahl ihrer Beschäftigten, einen Datenschutzbeauftragten benennen.",D) Die Datenschutzbeauftragten besitzen einen besonderen Kündigungsschutz und dürfen wegen der Erfüllung ihrer Aufgaben nicht benachteiligt werden.,.
10. Was ist der Zweck des BDSG?,"A) Es erlaubt jedem, anonymisierte oder pseudonymisierte personenbezogene Daten zu erheben, zu verarbeiten oder zu nutzen ‘","B) Es schützt den Einzelnen davor, dass seine Persönlichkeitsrechte durch den Umgang mit seinen personenbezogenen Daten verletzt werden","C) Es erlaubt den öffentlichen Stellen des Bundes und der Länder, Betriebsund Geschäftsgeheimnisse zu erheben",.,.
11. Welche Rechtsvorschriften regeln in Deutschland den Datenschutz?,A) Internationale Datenschutzrichtlinien (IDR),B) Strafprozessordnung (StPO),C) Landesdatenschutzgesetz (LDSG),D) Bundesdatenschutzgesetz (BDSG),E) Bürgerliches Gesetzbuch (BGB)
12. Wer kontrolliert die Umsetzung des Datenschutzes in der Privatwirtschaft?,A) der Verfassungsschutz,B) die zuständige Aufsichtsbehörde,C) die Innenminister der Länder,D) der Datenschutzbeauftragte im Unternehmen,.
13. Welche Aussagen zu Ansprüchen gemäß BGB sind richtig?,A) Ansprüche sind ausschließlich Schadensersatzansprüche,B) Ansprüche können Schadensersatzansprüche sein,C) Ansprüche können auf eine Handlung oder ein Unterlassen gerichtet sein,.,.
14. Welche Maßnahmen darf ein Sicherheitsmitarbeiter auf der Grundlage des defensiven Notstandes gemäß BGB durchführen?,"A) Er darf auf eine Sache einwirken, von der keine Gefahr ausgeht","B) Er darf eine fremde Sache beschädigen, von der die drohende Gefahr ausgeht","C) Er darf eine fremde Sache zerstören, von der die drohende Gefahr ausgeht",.,.
"15. Wachperson W führt Einlasskontrollen in einem Stadion durch. Das Mitnehmen von Glasflaschen ist verboten, da sie als Wurfgeschosse verwendet werden können. Bei der Kontrolle eines 20-Jährigen stellt W eine Glasflasche fest. Die Person weigert sich die Flasche abzugeben.
Mit welchen Rechtsfertigung kann W dem 20-Jährigen das Betreten des Stadtion verwiegern?","A) Mit der Allgemeinen Selbsthilfe (§ 229 BGB)
","B) Mit der Selbsthilfe des Besitzdieners (§§ 859, 860 BGB) ",C) Mit der Notwehr (§ 227 BGB) ,D) Mit dem übertragenen Hausrecht ,.
16. Welche „Befugnisse“ hat der Inhaber des Hausrechts?,A) Erteilung von Hausverboten,B) Erzwungene Taschenkontrollen,C) Willkürliche Zutrittsverbote,D) Erlass von Hausregeln,.
17. In welche zwei Bereiche wird das deutsche Recht grundsätzlich eingeteilt?,A) Staats- und Verfassungsrecht,B) Sozialrecht und Handelsrecht,C) Zivilrecht und Öffentliches Recht,D) Strafgesetzbuch und Bürgerliches Gesetzbuch,.
18. Wann ist die Wachperson S als Schadensverursacher zum Schadensersatz gemäß BGB verpflichtet?,A) S wird in einer Diskothek von A mit einem Messer angegriffen. S tritt mit dem Fuß das Messer weg. A erleidet Prellungen an Hand und Arm,B) S nimmt den ihm unbekannten Dieb D vorläufig fest. D trägt die gestohlene Ware noch bei sich und leistet Widerstand,C) S führt ein Dienstfahrzeug und verursacht beim Einparken an einem fremden Fahrzeug Kratzer an der Stoßstange,.,.
19. Welche Aussagen zur Erforderlichkeit der Notwehr sind richtig?,"A) Wenn mehrere Abwehrmittel unterschiedlicher Intensität verfügbar sind, kann das Mittel frei gewählt werden","B) Wenn mehrere Abwehrmittel verfügbar sind, muss das mildeste geeignete Mittel gewählt werden","C) Wenn nur ein Abwehrmittel verfügbar ist, darf dieses Mittel gewählt werden",.,.
