Frage,a,b,c,d,e,
1. Welche Aussagen zum öffentlichen Recht sind richtig?,A) Das öffentliche Recht regelt die rechtlichen Beziehungen zwischen Staat und Bürgern.,B) Im öffentlichen Recht gilt der Grundsatz der Gleichordnung zwischen Staat und Bürgern.,C) Im öffentlichen Recht herrscht ein Über- und Unterordnungsverhältnis zwischen Staat und Bürgern.,"
D) Das öffentliche Recht regelt die rechtlichen Beziehungen zwischen Privatpersonen untereinander.",.,
2. Welches Grundrecht des Grundgesetzes ist ein Bürgerrecht?,A) Unverletzlichkeit der Wohnung,B) Recht auf körperliche Unversehrtheit,C Freiheit der Person,D) Berufsfreiheit,.,
3. Wer ist Träger des Grundrechts der Menschenwürde gemäß art. 1 GG??,"
A) Verstorbene Menschen",B) Jurisische Personen des Privatrechts z.B. eine GmbH,"C) Alle Menschen, die sich in der Bundesrepublik Deutschland aufhalten",D) Nur deutsche Staatsbürger,.,
4. Welchen Zweck erfüllt der Föderalismus in Deutschland?,A) Beschränkung politischer Macht durch eine vertikale Gewaltenteilung,B) Stärkung der Demokratie durch gleichmäßige Machtverteilung,C) Probleme der einzelnen Länder sollen durch den Bund gelöst werden,D) Erleichterung politischer Entscheidungen auf Bundesebene,.,
"5. Sicherheitsmitarbeiter (""Türsteher""), die im Einlassbereich von gastgewerblichen Diskotheken arbeiten, müssen gemäß der BewachV sichtbar ein Schild tragen.
Welche Angaben sind vorgeschrieben?

",A) Name und Anschrift des Gewerbetreibenden,B) Name und Anschrift des Türstehers,C) Gebutrtsdatum des Türsteheres,"D)  Name oder Kennnummer des Türstehers
",.,
6. Welche Melde- und Anzeigepflichten muss der Gewerbetreibende gegenüber der zuständigen Behörde gemäß BewachV erfüllen? ,A) Er muss die bei ihm beschäftigten Wachpersonen innerhalb von drei Monaten nach Unterzeichnung des Arbeitsvertrages an die zuständige Gewerbebehörde melden. ,"B) Er muss Wachpersonen, die er beschäftigen will, vor dem ersten Wachdienst an die zuständige Gewerbebehörde melden.",C) Er muss den Gebrauch von Schusswaffen im Wachdienst der zuständigen Berufsgenossenschaft melden.,"D) Er muss unverzüglich anzeigen, welche Personen mit der Leitung seines Betriebes oder einer Zweigniederlassung beauftragt sind. ",.,
7. In welchem Gesetz wird die Gewerbefreiheit in der Bundesrepublik Deutschland gewährleistet?,A) Gewerbeordnung ,B) Strafgesetzbuch,C) Bewachungsverordnung,"D) Bürgerliches Gesetzbuch
",E) Handelsgesetzbuch,
8. Welche Unterlagen sind dem Sicherheitsmitarbeiter gemäß der Bewachungsverordnung bei Dienstantritt gegen Empfangsbestätigung auszuhändigen?,A) Dienstanweisungen,B) Betriebsvereinbarung,C) Unfallverhütungsvorschrift „Wach- und Sicherheitsdienste“,D) Bekleidungsordnung,.,
"9. Was umfasst der Begriff „verarbeiten"" von Daten gemäß Bundesdatenschutzgesetz?","A) Speichern, Verändern","B) Erheben, Nutzen","C) Verkauf, Ankauf","D) Übermitteln, Sperren, Löschen",.,
10. Wann ist gemäß DS-GVO und BDSG die Videoüberwachung in öffentlich zugänglichen Bereichen grundsätzlich zulässig? ,A) Zur allgemeinen Überwachung der Arbeitsleistung von Mitarbeitern ,"B) Zur Wahrnehmung des Hausrechts, z. B. zum Schutz vor Ladendiebstahl","C) Zur Aufgabenerfüllung öffentlicher Stellen, z. B. zur Verkehrsüberwachung ",D) Zur Abschreckung potenzieller Täter,.,
"11. Durch unzulässige Erhebung von personenbezogenen Daten wurde eine Person in ihrem Persönlichkeitsrecht auf informationelle Selbstbestimmung beeinträchtigt. Ein Schaden ist entstanden.
Welche Aussagen sind in dem Fall gemäß BDSG richtig?",A) Der Betroffene hat grundsätzlich Anspruch auf Schadensersatz gegenüber der verantwortlichen Stelle,"B) Die Schadensersatzpflicht entfällt, wenn die verantwortliche Stelle nachweisen kann, dass sie die erforderliche Sorgfalt beachtet hat","C) Die verantwortliche Stelle ist schadensersatzpflichtig, wenn nachgewiesen werden kann, dass der Schaden höher als 50,00 Euro ist",.,.,
"12. Wann ist die Erhebung, Verarbeitung und Nutzung personenbezogener Daten ohne Einwilligung des Betroffenen zulässig?",A) Wenn das Bundesdatenschutzgesetz oder eine andere Rechtsvorschrift dies vorsieht oder zwingend voraussetzt,B) Wenn die Daten lediglich zu statistischen oder Forschungszwecken benötigt werden,C) Wenn der Betroffene für die Einwilligung nicht rechtzeitig erreicht werden kann und durch die Erhebung keine Vorteile entstehen,"D) Wenn keine Anhaltspunkte dafür bestehen, dass schutzwürdige Interessen des Betroffenen überwiegen",.,
"13. Auf dem Weg vom Fahrzeug zu einem Schutzobjekt wird ein Sicherheitsmitarbeiter von einem großen bissigen Hund angefallen. Der Sicherheitsmitarbeiter bricht aus einem Zaun, der einem unbeteiligten Dritten gehört, eine Zaunlatte heraus und nutzt diese, um den Hund abzuwehren. In Folge der Abwehr wird der Hund verletzt.
Welche nachstehenden Aussagen sind in Bezug auf den Sachverhalt zutreffend?",A) Der Sicherheitsmitarbeiter hat auf Verlangen des Zauneigentümers Schadenersatz zu leisten,B) Der Sicherheitsmitarbeiter hat Schadenersatz gegenüber dem Eigentümer des Hundes zu leisten,C) Der Sicherheitsmitarbeiter hat in Bezug auf die Situationsbeschreibung verhältnismäßig gehandelt,D) Der Sicherheitsmitarbeiter hat in Bezug auf die Situationsbeschreibung nicht verhältnismäßig gehandelt,.,
14. Überprüfen Sie die nachstehenden Aussagen zum Eigentum und wählen Sie die richtigen aus.,A) Eigentum kann immer nur von einer Person beansprucht werden,B) Eigentum kann nur durch Kauf erworben werden,C) Eigentum kann durch gesetzliche Bestimmungen eingeschränkt werden,D) Eigentum kann im Rahmen der Notwehr verteidigt werden,.,
15. Welche Aussagen zum Verteidigungsnotstand gemäß § 228 BGB sind richtig? ,"A) Die Notstandslage setzt voraus, dass durch eine fremde Sache die Gefahr einer Rechtsgutverletzung besteht.","B) Die Notstandshandlung setzt voraus, dass der Notstandshandelnde eine fremde Sache an sich nimmt, um mit dieser die drohende Gefahr abzuwenden.","C) Die Notstandshandlung setzt einen Abwehrwillen voraus, und sie muss zur Abwehr der Gefahr erforderlich sein. ","D) Die Notstandslage setzt voraus, dass die Gefahr ausschließlich für eigene Rechtsgüter droht, z. B. für das eigene Eigentum. ",.,
16. Welche Aussagen zum Hausrecht sind richtig? ,"A) Das Hausrecht über Mieträume besitzen beide, der Vermieter und der Mieter","B) Das Hausrecht besitzt bei angemieteten Räumen nur die Person, die die Miete dafür zahlt. ","C) Das Hausrecht kann vom Hausrechtsinhaber auf andere übertragen werden, z.b. auf Wachpersonen.",D) Das Hausrecht kann durch ein Gesetz eingeschränkt werden,.,
"17. Wachperson W bewacht das Lager eines Kunden. Während eines Kontrollganges beobachtet W die Person X, die vor der Wand einer Lagerhalle steht und eine Farbspraydose hörbar schüttelt. W ist Besitzdiener. Kann W gemäß BGB eingreifen, um die Verunstaltung der Lagerhalle mit Graffiti durch X zu verhindern? ","A) Ja, W kann aber erst im Sinne der allgemeinen Selbsthilfe einschreiten, wenn X begonnen hat, die Wand der Lagerhalle zu besprühen. ","B) Ja, W kann durch das Selbsthilferecht des Besitzdieners verhindern, dass X den Besitz des Kunden durch Graffiti stört. ","C) Ja, W kann den unmittelbar bevorstehenden, rechtswidrigen Angriff auf das Rechtsgut ""Eigentum des Kunden"" durch Notwehr abwehren. ","D) Ja, W kann im Sinne des Angriffsnotstands gegen X vorgehen, um die Gefahr der Verunstaltung der Lagerhalle durch Graffiti abzuwenden",.,
18. Was kennzeichnet den „Besitzerdiener“?,A) Der Besitzdiener hat die rechtliche Verfügungsgewalt über eine Sache,B) Der Besitzdiener ist dem Besitzer gegenüber weisungsgebunden,C) Der Besitzdiener übt die tatsächliche Gewalt für einen anderen aus,D) Der Besitzdiener hat kein Abhängigkeitsverhältnis zum Besitzer,.,
"19. Eine Maßnahme ist nicht „verhältnismäßig“, wenn sie…",A) …geeignet ist,B) …erforderlich ist,C) …nicht angemessen ist,D) …nicht das mildeste Mittel darstellt,.,
"20. Der Spaziergänger „A“ wird von einem frei herumlaufenden bissigen Hund angegriffen. Ihm bleibt keine andere Möglichkeit, als eine Latte vom Zaun seines Nachbarn abzureißen, um den Hund in die Flucht zu schlagen. Der Nachbar ist nun der Auffassung, dass „A“ sich wegen Sachbeschädigung strafbar gemacht hat und stellt einen Strafantrag. War die Handlung des „A“ gerechtfertigt?",A) Die Handlung des „A“ war durch Notwehr gerechtfertigt,"B) Die Handlung des „A“ war nicht gerechtfertigt, somit rechtswidrig",C) Die Handlung des „A“ war durch die allgemeine Selbsthilfe gemäß § 229  BGB gerechtfertigt,D) Die Handlung des „A“ war durch den aggressiven Sachnotstand gemäß § 904 BGB gerechtfertigt,.,
21. Welche Gefahren können durch § 228 BGB Defensivnotstand abgewendet werden?,A) Alle drohenden Gefahren,"B) Gefahren, die von einer Sache ausgehen","C) Gefahren, die nicht selber verschuldet wurden","D) Gefahren, die von Menschen ausgehen",.,
22. Welches „Jedermannsrecht“ rechtfertigt den notfalls gewaltsamen Verweis eines aggressiven Kunden durch einen Kaufhausdetektiv aus dem Geschäft?,A) Notwehr gemäß § 227 BGB,B) Hausrecht gemäß Art. 13 GG,C) Aggressiver Notstand gemäß §904 BGB,D) Vorläufige Festnahme gemäß §127 (1) StPO,.,
23. Was gehört nicht zum räumlich geschützten Bereich des Hausrechts?,A) Firmengrundstück,B) Veranstaltungsgelände,C) Gehwege,D) Straßenbahn,E) Gerichtssaal,
24. Welche Aussage zum Hausrecht ist richtig?,A) Hausrecht ist ein notwehrfähiges Rechtsgut,B) Hausrecht ist ein gesetzlicher Rechtfertigungsgrund,C) Hausrecht ist kein gesetzlicher Rechtfertigungsgrund,D) Hausrecht ist ein hoheitliches Recht,.,
25. Welche Aussagen zur Begünstigung gemäß StGB sind richtig?,"A)  Die Begünstigung setzt eine begangene Vortat voraus, z. B. einen Diebstahl","B)  Die Begünstigung ist auch durch Unterlassen möglich, wenn eine Garantenpflicht zur Verhinderung des Erfolges besteht","C) Die Begünstigung ist auch dann strafbar, wenn sie fahrlässig begangen wird",.,.,
"26. Urkundenfälschung gemäß § 267 StGB begeht, wer z. B. eine unechte oder verfälschte Urkunde „zur Täuschung im Rechtsverkehr gebraucht“.Wer begeht demnach Urkundenfälschung?",A)  Wer ein Kraftfahrzeug mit verfälschtem Kennzeichen im öffentlichen Straßenverkehr führt,"B)  Wer in einem Personalausweis das Geburtsdatum verfälscht, um im Freundeskreis jünger zu erscheinen","C)  Wer einen verfälschten Sachkundenachweis gemäß § 34a Gewo einem Bewachungsgewerbetreibenden vorlegt, um einen Arbeitsvertrag zu erhalten
",.,.,
27. Wie unterscheidet sich das Strafrecht vom Ordnungswidrigkeitenrecht?,A) Das deutsche Strafrecht ist Teil des öffentlichen Rechts. Es befasst sich mit der Straftat und der Bestrafung des Täters,"B) Das einzige Ziel des Strafrechts ist die Bestrafung des Täters. Dadurch soll er abgeschreckt werden, rückfällig zu werden",C) Das Ordnungswidrigkeitenrecht ermöglicht bei Bagatelldelikten in einem vereinfachten Verfahren die Ahndung mit einer Geldbuße,"D)  Gesetzesverstöße, deren Rechtsfolge die Geldstrafe ist, werden als Ordnungswidrigkeiten bezeichnet",.,
28. Wann liegt der Versuch einer Straftat gemäß StGB vor? ,A) Wenn jemand unmittelbar tatsächlich und nach seiner Vorstellung zur Verwirklichung eines Tatbestands ansetzt. ,B) Wenn jemand sich eine Straftat ausdenkt und plant.,C) Wenn jemand zur Begehung eines geplanten Einbruchs in einem Baumarkt das notwendige Werkzeug zum Aufbrechen einer Tür kauft. ,D) Wenn jemand sich zur Begehung einer geplanten Straftat auf den Weg zum zehn Kilometer entfernten Tatort macht.,.,
"29. Der Hausfriedensbruch gemäß § 123 StGB schützt unter anderem Wohnungen. Was fällt unter den Begriff der Wohnung""? ",A) Hafträume bzw. Gefängniszellen,B) Hotelzimmer ,C) Personenkraftwagen,.,.,
"30. Was enthält der ""Besondere Teil"" des Strafgesetzbuches?",A) Er enthält einen großen Teil der Verbrechen und Vergehen des deutschen Strafrechts und die dafür vorgesehenen Strafandrohungen.,"B) Er enthält sämtliche Straftatbestände des deutschen Strafrechts, deren Verwirklichung mit Strafe bedroht ist",C) Er enthält Bestimmungen über die Täterschaft und Teilnahme. ,"D) Er enthält Tatbestände, die die Ahndung mit einer Geldbuße zulassen",.,
"31. Um eine Straftat zu erfüllen, muss der Täter handeln. Die Hauptformen der strafrechtlich  bedeutsamen Handlung sind …
",A) …der Vorsatz,B)  …das aktive Tun,C) …die Fahrlässigkeit,D) …das Unterlassen eines aktiven Tuns,.,
32. Wer kann im Allgemeinen Zeuge in einem Strafverfahren sein? ,A) Sachverständige,B) Beschuldigter in eigener Sache ,C) Der Geschädigte,.,.,
