Frage,a,b,c,d,
1. Welche grundsätzlichen Aussagen zum Bundes- und Landesrecht in der Bundesrepublik Deutschland sind richtig?,A) Das Bundesrecht bricht das Landesrecht,B) Das Landesrecht umfasst z.B. das Polizeirecht,C) Das Bundesrecht und das Landesrecht sind gleichgestellt,D) Das Bundesrecht betrifft nur das Straf- und Gewerberecht,.
2. Welche der nachstehenden Befugnisse kann ein Sicherheitsmitarbeiter wahrnehmen?,"A) Durchsuchen von Handtaschen nach Drogen oder Diebesgut, auch ohne Einwilligung des Betroffenen","B) In Gewahrsamnahme eines Verdächtigen, um eine Information über das Versteck von Diebesgut zu erzwingen","C) Vorläufige Festnahme eines auf frischer Tat betroffenen Straftäters, der seine Identität nicht nennen will und dessen Identität nicht bekannt ist",.,.
"3. Was versteht man unter einem „Rechtfertigungsgrund""?","A) Es wird eine bestimmte Handlung, die normalerweise verboten und mit Strafe bedroht ist, durch ein Gesetz erlaubt",B) Er gestattet in beliebiger Form die Anwendung privaten Zwanges um eigene Interessen zu schützen,C) Es wird eine bestimmte Handlung durch ein Gesetz entschuldigt,"D) Es wird eine Handlung, die normalerweise widerrechtlich Ist und zum Schadenersatz verpflichtet, durch ein Gesetz erlaubt",.
"4. Wer gehört in der Bundesrepublik Deutschland zur vollziehenden Gewalt, der Exekutive? ",A) Amtsrichter ,B) Geschäftsführer eines Bewachungsunternehmens ,C) Polizeivollzugsbeamte ,D) Sachbearbeiter einer Gewerbebehörde,.
5. Wie erfolgt das Verfahren der Unterrichtung nach der BewachV?,A) Die Unterrichtung erfolgt mündlich,B) Die Unterrichtung endet mit einer Abschlussprüfung,"C) Mittels mündlicher und schriftlicher Verständnisfragen soll überprüft werden, ob die Teilnehmer die geforderten Kenntnisse besitzen",.,.
6.  Welche Versicherung muss der Gewerbetreibende gemäß BewachV für sich und seine Mitarbeiter abschließen?,A)  Krankenversicherung,"B)  Gesetzliche Unfallversicherung
",C) Rentenversicherung,D) Haftpflichtversicherung,.
7. Welche Angaben zur Wachperson müssen gemäß BewachV im Ausweis enthalten sein?,A) Familienname und Vorname der Wachperon,B) Lichtbild,C) Bewacherregisteridentifikationsnummer ,D) Geburtsdatum und Wohnort ,.
"8.  Die Wachperson S ist aktives Mitglied in einem Verein, der nach dem Vereinsgesetz als Organisation unanfechtbar verboten wurde. Was bedeutet dies gemäß § 34a Gewo und BewachV?","A) S gilt trotz seiner Mitgliedschaft als zuverlässig, wenn keine einschlägigen Verurteilungen in der unbeschränkten Auskunft aus dem Bundeszentral register eingetragen sind, wie z. B. gefährliche Körperverletzung","B) Der Bewachungs-Gewerbetreibende darf S nicht mit Bewachungsaufgaben beschäftigen, wenn dies das zuständige Landesamt für Verfassungsschutz fordert","C) Die zuständige Gewerbebehörde kann dem BewachungsGewerbetreibenden die Beschäftigung von S mit Bewachungsaufgaben untersagen, wenn S die erforderliche Zuverlässigkeit nicht besitzt",.,.
9. Wann ist die Verwendung von Videoüberwachungsanlagen gemäß BDSG zulässig?,A) Zur Kontrolle und Überprüfung der Arbeitsleistungen von Mitarbeitern,B) Zur Wahrnehmung des Hausrechts,C) Zur Überwachung von Umkleidekabinen in Kaufhäusern,D) Zur Aufgabenerfüllung öffentlicher Stellen,.
10. Was sind nicht automatisierte Dateien gemäß BDSG?,"A) Sammlungen von personenbezogenen Daten in Akten, die gleichartig aufgebaut sind und nach bestimmten Merkmalen ausgewertet werden können",B) Sammlungen von personenbezogenen Daten auf Datenträgern wie Disketten oder Festplatten,"C) Arbeitnehmerdaten in Personalakten, die das Beschäftigungsverhältnis betreffen",.,.
11. Wann muss gemäß DS-GVO der Verantwortliche die personenbezogenen Daten des Betroffenen unverzüglich löschen? ,A) Wenn diese Daten von vornherein unrechtmäßig verarbeitet wurden ,B) Wenn diese Daten zur Ausübung des Rechts auf freie Meinungsäußerung verwendet werden ,"C) Wenn diese Daten verwendet werden, um Rechtsansprüche durchzusetzen",D) Wenn die betroffene Person ihre Einwilligung widerruft und es an einer anderweitigen Rechtsgrundlage für die Verarbeitung fehlt ,.
12. Was regelt das Bundesdatenschutzgesetz?,A) Das BDSG regelt die Verschwiegenheitspflicht über Geschäfts- und Betriebsgeheimnisse,B) Das BDSG regelt ausschließlich die automatisierte Verarbeitung personenbezogener Daten,C) Das BDSG regelt den Umgang mit personenbezogenen Daten,D) Das BDSG regelt die Rechte des Betroffenen und die Folgen von Gesetzesverletzungen,.
"13. Der Sicherheitsmitarbeiter ""A"" verhindert im Rahmen seiner Tätigkeit gewaltsam das unbefugte Betreten eines Gebäudes des Auftraggebers durch einen Betriebsfremden. Der Betriebsfremde hat für sein Tun keine Rechtfertigung. Beurteilen Sie aus zivilrechtlicher Sicht das Handeln von ""A"". Der Sicherheitsmitarbeiter ""A""…",A) …begeht eine unerlaubte schadensersatzpflichtige Handlung,B) …nimmt eine Maßnahme des Verteidigungsnotstandes vor,C) …nimmt eine Besitzwehr vor,D) …nimmt eine Notwehrhandlung vor,E) …nimmt eine Besitzkehr vor
14. Begrifflich hat der Eigentümer das umfassende Recht…,A) …sein Eigentum unter Beachtung gesetzlicher Schranken z.B. zu benutzen oder zu zerstören,B) …sein Eigentum im Rahmen gesetzlicher Bestimmungen z.B. zu veräußern oder zu verschenken,C) …sein Eigentum immer Lind unbeschränkt entgegen des Wohls der Allgemeinheit zu verbrauchen,.,.
15. Welche Rechtfertigungsgründe stehen im BGB?,A) Selbsthilfe,B) Defensivnotstand,C) Entschuldigender Notstand,D) Rechtfertigender Notstand,.
16. Welche Aussagen zu Eigentum sind gemäß BGB richtig?,A) Eigentum kann durch Gesetze oder Rechte anderer eingeschränkt werden,B) Eigentum kann alleine durch Schenkung oder Erbe erlangt werden,C) Eigentum kann mittels Notstand gegen Gefahren geschützt werden,"D) Eigentum kann nicht eingeschränkt werden, da es ein Grundrecht ist",.
17. Welche Aussagen zur Notwehr gemäß § 227 BGB sind richtig?,A) Der Angriff muss von einem schuldfähigen Menschen ausgehen,B) Der Angriff eines herrenlosen Tieres kann durch Notwehr abgewehrt werden,"C) Die Notwehr ist nur zulässig, wenn sich der Angriff gegen die eigenen Rechtsgüter richtet","D) Wer sich auf Notwehr beruft, muss beweisen, dass die Voraussetzungen der Notwehr vorliegen",.
18. Während eines Fußballspiels klettert eine Person über die Absperrung des Spielfeldes und läuft unbekleidet auf dem Spielfeld umher. Das Spiel wird unterbrochen. Wie ist das Verhalten der Person nach dem BGB zu beurteilen? ,A) Es liegt ein gegenwärtiger rechtswidriger Angriff gegen das Rechtsgut Hausrecht vor ,B) Es liegt verbotene Eigenmacht in Form der Besitzentziehung vor ,C) Es liegt verbotene Eigenmacht in Form der Besitzstörung vor,D) Es liegt eine gegenwärtige Gefahr im Sinne des Angriffsnotstandes vor ,.
19. Welche Aussagen zur Notwehr gemäß BGB sind richtig? ,"A) Zur Abwehr eines Angriffs muss das mildeste Mittel gewählt werden, wenn geeignet ist, den Angriff abzuwehren.","B) Der Angriff eines Menschen muss rechtswidrig und gegenwärtig sein. z.B. der Fall, wenn eine Person ohne Rechtfertigungsgrund auf eine andere Person einschlägt","C) Angriffe gegen Leib, Leben oder Freiheit dürfen abgewehrt werden, nicht aber Angriffe gegen die Ehre oder das Hausrecht.","D) Damit der Angriff mit großer Sicherheit gestoppt werden kann, darf stets das stärkste Abwehrmittel eingesetzt werden. ",.
"20. Welche Selbsthilferechte haben der Besitzer und der Besitzdiener gemäß BGB, wenn verbotene Eigenmacht vorliegt? ",A) Sie dürfen sich einer Besitzentziehung mit Gewalt erwehren ,B) Sie dürfen sich einer Besitzstörung mit Gewalt erwehren ,"C) Sie dürfen sich der verbotenen Eigenmacht erst dann mit Gewalt erwehren, wenn Hilfe durch die Polizei nicht rechtzeitig zu erwarten ist.",D)  Wenn bei einer Person ohne ihre Zustimmung aufgrund der StPO eine Tatwaffe beschlagnahmt wird ,.
21. Wie kann man u.a. Besitzdiener werden?,A) Kauf einer Sache,B) Arbeitsvertrag,C) Ausleihen der Sache für einen vorübergehenden Zeitraum,D) Bewachungsvertrag,.
22. Wann ist die Selbsthilfe des Besitzers gemäß § 859 BGB zulässig?,"A) Sie ist zulässig in Form der Besitzwehr. Dies ist z. B. der Fall, wenn eine Person widerrechtlich das Betriebsgelände eines Unternehmens betritt.","B) Sie ist zulässig in Form der Besitzkehr. Dies ist z. B. der Fall, wenn eine Person widerrechtlich einer anderen Person deren Werkzeugkoffer weggenommen hat.","C) Sie ist zulässig in Form der Besitzkehr. Dies ist z. B. der Fall, wenn einer Person, die widerrechtlich einer anderen Person deren Fahrrad weggenommen hat, dieses nach einigen Tagen wieder abgenommen wird.",.,.
23. Ab welchem Lebensjahr ist eine Person grundsätzlich zum Schadenersatz verpflichtet?,A) Ab dem 7. Lebensjahr,B) Ab dem 14. Lebensjahr,C) Ab dem 18. Lebensjahr,D) Ab dem 21. Lebensjahr,.
