Frage,a,b,c,d,e
"1. Die Verhältnismäßigkeit der Mittel ist bei der Inanspruchnahme der so genannten Jedermannsrechte stets zu achten.
Welche Aussagen zum Grundsatz der Verhältnismäßigkeit sind richtig?","A) Es ist von mehreren geeigneten Mitteln dasjenige zu wählen, das den von der Maßnahme Betroffenen am geringsten beeinträchtigt","B) Eine Gewaltanwendung ist dann zu beenden, wenn ihr Zweck erreicht ist oder sich zeigt, dass diese Maßnahme nicht erfolgreich sein wird","C) Bei der Anwendung der Jedermannsrechte ist es egal, welches Mittel angewendet wird, Hauptsache, der Erfolg stellt sich ein","D) Es ist immer das Mittel anzuwenden, das garantiert zum Erfolg führt",.
2. Welche Aussagen treffen auf den Begriff „Grundrechte“ zu?,A) Grundrechte gelten absolut und können nicht eingeschränkt werden,"B) Die Grundrechte stellen eine objektive Werteordnung dar, die als Richtschnur für alles staatliche Handeln gilt","C) Der Bürger kann seine Grundrechte notfalls gerichtlich durchsetzen, weil die Staats- gewalten an die Grundrechte gebunden sind und diese achten sowie schützen müssen",.,.
3. Welche der folgenden Rechte sind Grundrechte?,A)  Unverletzlichkeit der Wohnung,B) Recht auf Strafverfolgung,C) Gleichheit vor dem Gesetz,D) Bürgerliches Recht,.
4. Was unterscheidet die Polizei vom Sicherheitsgewerbe?,A) Die Polizei ist Ländersache. Sie arbeitet auf der Grundlage der Polizeigesetze der Länder,B) Das Sicherheitsgewerbe erfüllt nur Präventivaufgaben,C) Das Sicherheitsgewerbe wird im privaten Bereich tätig,D) Private Sicherheitsmitarbeiter haben den Status von Hilfsbeamten der Staatsanwaltschaft,.
5. Welche Pflicht muss der Gewerbetreibende gemäß BewachV erfüllen?,A) Er muss zur Überprüfung der Zuverlässigkeit seiner Wachpersonen eine unbeschränkte Auskunft aus dem Bundeszentralregister einholen,"B) Er muss dafür sorgen, dass seine Wachpersonen die Sachkundeprüfung erfolgreich ablegen, damit sie Bewachungstätigkeiten wie Geld- und Werttransporte durchführen dürfen","C) Er muss seinen Wachpersonen Dienstkleidung zur Verfügung stellen, die bei allen Bewachungstätigkeiten getragen werden muss",D) Er muss seinen Wachpersonen spätestens vor der ersten Aufnahme der Bewachungstätigkeiten einen Ausweis ausstellen,.
"6. Welche Behörde kann gemäß GewO dem Gewerbetreibenden die Beschäftigung einer Wachperson mit Bewachungsaufgaben untersagen, wenn die Wachperson nicht die für ihre Tätigkeit erforderliche Zuverlässigkeit besitzt?",A) Die nach dem Landesrecht zuständige Gewerbebehörde,B) Die Bundesagentur für Arbeit,C) Die Staatsanwaltschaft,D) Die Verwaltungs-Berufsgenossenschaft,.
7. Müssen Wachpersonen ihren Ausweis gemäß BewachV sichtbar tragen?,"A) Ja, während des Wachdienstes. Diese Tragepflicht entfällt allerdings, wenn die Wachpersonen ein Kennschild bzw. ein Namensschild sichtbar tragen","B) Nein, während des Wachdienstes müssen Wachpersonen den Ausweis mitführen und auf Verlangen den Beauftragten der Vollzugsbehörden vorzeigen","B) Ja, während des Wachdienstes. Dies gilt aber nur für sachkundepflichtige Bewachungstätigkeiten wie “Kontrollgänge im öffentlichen Verkehrsraum”","D) Ja, während des Wachdienstes. Ausgenommen  davon ist der „Personenschutz"". Personenschützer müssen den Ausweis nur mitführen",.
8. Welche Personen dürfen sachkundepflichtige Bewachungstätigkeiten gemäß § 34a GewO ausüben?,"A) Personen, die schon mindestens zwei Jahre im Bewachungsgewerbe tätig sind","B) Personen, die einen Abschluss im Rahmen einer Laufbahnprüfung für den mittleren Polizeivollzugsdienst nachweisen können","C) Personen, die eine vor der IHK erfolgreich abgelegte Sachkundeprüfung nachweisen können","D) Personen, die eine Bescheinigung einer IHK über die Unterrichtung mit 40 Unterrichtsstunden nachweisen können",.
"9. Gemäß DS-GVO und BDSG ist die Verarbeitung „besonderer Kategorien personenbezogener Daten"" grundsätzlich untersagt. Welche Informationen zählen hierzu?",A) Freiwillige Telefonbucheintragungen,B) Namensangaben auf dem Türschild,C) Eintragungen im Handelsregister,D) Genetische und biometrische Daten,E) Gesundheitsdaten
10. Unter welchen Voraussetzungen ist gemäß DS-GVO und BDSG die Videoüberwachung zulässig?,"A) Wenn am Ort der Videoüberwachung für betroffene Personen an einer zugänglichen Stelle Informationen zur Verfügung stehen, u.a. der Name und die Kontaktdaten der für die Videoüberwachung verantwortlichen Person bekannt gemacht werden",B) Wenn die Videoüberwachung ausschließlich auf umfriedetem Betriebsgelände zum Schutz vor Diebstahl stattfindet,C) Wenn die Videoüberwachung z.B. der Wahrnehmung des Hausrechts dient und keine schutzwürdigen Interessen der Betroffenen überwiegen,D) Wenn zur schnellen und eindeutigen Identifizierung natürlicher Personen Gesichtserkennungssoftware eingesetzt wird,.
