Frage,a,b,c,d,e
1. Wer gehört in der Bundesrepublik Deutschland zur vollziehenden Gewalt (Exekutive)?,A) Amtsrichter ,B) Geschäftsführer eines Bewachungsunternehmens ,C) Polizeivollzugsbeamte ,D) Abgeordneter,.
"2. Was wird unter dem „Privatrecht"" verstanden? ",A) Das Privatrecht regelt die Rechtsbeziehungen zwischen gleichgestellten natürlichen und juristischen Personen,"B) Das Privatrecht legt im Wesentlichen fest, welche Freiheiten, Rechte und Pflichten die Menschen im Verhältnis zueinander haben ",C) Das Privatrecht ist ein Teil des öffentlichen Rechts und regelt die Rechts- beziehungen zwischen Staat und Bürger,"D) Das Privatrecht beschreibt die Rechtsfolgen für Straftaten und Ordnungs- widrigkeiten, z. B. Geld- oder Freiheitsstrafen, Geldbuẞen",.
3. Welche Handlungen sind dem „Öffentlichen Recht“ zuzuordnen?,A) Das Öffentliche Rechts regelt die Rechtsbeziehungen zwischen Staat und Bürger,B) Der Abschluss eines Bewachungsvertrages zwischen einem Bewachungs- unternehmer und einem Auftraggeber ,C) Die Sicherstellung von Beweismitteln durch Polizeivollzugsbeamte zum Zwecke der Strafverfolgung,D) Die Durchführung einer Taschenkontrolle durch eine Wachperson mit ausdrücklicher Zustimmung der betroffenen Person ,.
"4. Was schützt das Grundrecht des „Brief-, Post- und Fernmeldegeheimnisses"" gemäß Art. 10 GG?","A) Das Briefgeheimnis schützt jede schriftliche Nachricht, die sich z.B. in einem verschlossenen Kuvert oder in einem Paket befindet ",B) Das Briefgeheimnis schützt Werbeprospekte sowie Zeitungen und Waren- sendungen ,"C) Das Fernmeldegeheimnis schützt die individuelle Kommunikation, z. B. mittels Telefon, Funkverkehr und Messenger-Dienste ",D) Das Fernmeldegeheimnis schützt die Inhalte von Websites von Unternehmen und Behörden ,.
5. Welche Hinweise müssen gemäß BewachV in der Dienstanweisung enthalten sein? ,"A) Der Hinweis, dass Wachpersonen während des Dienstes nur mit Zustimmung des Gewerbetreibenden eine Schuss-, Hieb und Stoßwaffen sowie Reizstoffsprühgeräte führen dürfen","B) Der Hinweis, dass die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beachtet werden muss","C) Der Hinweis, dass Sonderrechte im öffentlichen Straßenverkehr nur bei der Alarmverfolgung zulässig sind ","D) Der Hinweis, dass Wachpersonen nicht die Eigenschaft und die Befugnisse von Polizeivollzugsbeamten oder sonstigen Bediensteten einer Behörde besitzen",.
6. Was sind Bewachungstätigkeiten im Sinne des § 34a GewO? ,A) Zugangskontrolle mit erforderlichenfalls Zutrittsverweigerung bei Veranstaltungen wie z. B. Konzerten,B) Ordnerdienste wie z. B. die Parkplatzeinweisung für Besucher eines Fußballspiels,C) Ausschließliche Entgegennahme und Weiterleitung von Alarmmeldungen durch Notrufzentralen,"D) Reine Beobachtungs- und Ermittlungstätigkeiten, z. B. durch Detekteien Bewachungen im Einlassbereich von gastgewerblichen Diskotheken ",E) Bewachungen im Einlassbereich von gastgewerblichen Diskotheken
7. Türsteher T hat in Notwehr sein Reizstoff-Sprühgerät gegen einen Angreifer eingesetzt. Welche Pflichten haben T und der Gewerbetreibende nach dem Gebrauch der Waffe gemäß BewachV? ,A) T muss den Waffeneinsatz innerhalb einer Woche der zuständigen Gewerbebehörde melden,B)  Der Gewerbetreibende muss den Gebrauch der Waffe unverzüglich der zuständigen Gewerbebehörde melden,C) Der Gewerbetreibende muss den Waffeneinsatz der zuständigen Industrie- und Handelskammer melden,D) T muss den Waffeneinsatz unverzüglich der zuständigen Polizeidienststelle und dem Gewerbetreibenden melden,.
8. Was muss der Gewerbetreibende jeder Wachperson gemäß BewachV gegen Empfangsbescheinigung aushändigen?,A) Einen Abdruck der Bewachungsverordnung ,"B) Die Unfallverhütungsvorschriften „Wach- und Sicherungsdienste"" sowie „Grundsätze der Prävention"" ",C) Einen Abdruck der betrieblichen Haftpflichtversicherung ,D) Einen Abdruck der Dienstanweisung ,.
"9. Was sind ,,personenbezogene Daten"" im Sinne der DS-GVO? ","A) Alle Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen","B) Anonyme Informationen über natürliche Personen, die für statistische oder für Forschungszwecke verwendet werden ","C) Alle personenbezogenen Daten, die durch Pseudonymisierung so verarbeitet wurden, dass sie ohne zusätzliche Informationen nicht mehr einer bestimmten Person zugeordnet werden können ","D) Alle Informationen, die sich auf eine identifizierte oder identifizierbare juristische Person beziehen ",.
10. Unter welchen Voraussetzungen dürfen gemäß DS-GVO und BDSG personenbezogene Daten verarbeitet werden? ,A) Wenn die betroffene Person ihre Einwilligung zur Verarbeitung der sie betreffenden personenbezogenen Daten für einen oder mehrere bestimmte Zwecke gegeben hat ,"B) Wenn der Verantwortliche nachweisen kann, dass die betroffene Person in die Verarbeitung personenbezogenen Daten eingewilligt hat ","C) Wenn der Betroffene zugestimmt hat. Die Zustimmung ist selbst dann erforderlich, wenn die Verarbeitung zur Erfüllung einer rechtlichen Verpflichtung erforderlich ist, z.B. für die Anmeldung einer Wachperson Bewacherregister","D) Wenn die Verarbeitung personenbezogener Daten automatisiert erfolgen soll, z.b. durch Computer. Einwilligung des Betroffenen ist nicht erforderlich, wenn die personenbezogenen Daten in Akten verarbeitet werden ",.
"11. Gemäß DS-GVO und BDSG ist die Verarbeitung „besonderer Kategorien personenbezogener Daten"" grundsätzlich untersagt. Welche Informationen zählen hierzu? ",A) Freiwillige Telefonbucheintragungen ,B) Namensangaben auf dem Türschild ,C) Eintragungen im Handelsregister ,D) Genetische und biometrische Daten  ,E) Gesundheitsdaten 
