Frage,a,b,c,d,e
1. Welche Aussagen zu den Rechtfertigungsgründen sind richtig?,"A) Rechtfertigungsgründe sind z.B. Notwehr- und Notstandsrechte, die jeder Person zustehen",B) Rechtfertigungsgründe sind z.B. die Schuldunfähigkeit des Kindes und die Notwehrüberschreitung,"C) Rechtfertigungsgründe sind der Rechtsordnung zu entnehmen, z.B. dem StGB, der StPO und dem BGB","D) Rechtfertigungsgründe dürfen nur dann angewendet werden, wenn Hilfe des Staates nicht rechtzeitig zu erlangen ist",.
2. Welche Aussage zu den sogenannten Grundrechten ist richtig?,A) Die Grundrechte sind Abwehrrechte des Bürgers gegen staatliche Machtentfaltung,B) Die Grundrechte lassen sich einteilen in Menschenrechte und Bürgerrechte,C) Die Grundrechte gelten unmittelbar und direkt für das Sicherheitspersonal,D) Die Grundrechte (Art. 1 – 19) sind grundsätzlich veränderlich und widerrufbar,.
3. Welche Aussagen zur Menschenwürde sind gemäß Art. 1 GG richtig?,"A) Geschützt ist jeder Mensch, der sich im Geltungsbereich des GG aufhält, z.B. minderjährige Kinder, Straftäter und Ausländer",B) Geschützt sind ebenso juristische Personen und die Menschheit,"C) Der Staat ist verpflichtet, die Menschenwürde zu achten und zu schützen","D) Durch die Menschenwürde sind nur die höchsten Grundrechte „Recht auf Leben"" und „Recht auf körperliche Unversehrtheit"" geschützt.",.
4. Welche Grundrechte dürfen nicht durch das Gesetz eingeschränkt werden?,A) Freiheit,B) Menschenwürde,C) Eigentum,D) Meinungsfreiheit,.
"5. Ein Gewerbetreibender erhält von einem Kaufhausbetreiber den Auftrag, dessen Geschäft vor Ladendieben zu schützen. Mit welchen Nachweisen darf die Bewachungstätigkeit zum „Schutz vor Ladendieben"" gemäß § 34a GewO ausgeübt werden?",A) Mit der Bescheinigung über die 40-stündige Unterrichtung nach § 34a GewO,"B) Mit einem anerkannten Prüfungszeugnis, z.B. der Abschluss für den mittleren Polizeivollzugsdienst","C) Mit dem Nachweis, dass vor einer IHK die Sachkundeprüfung gemäß § 34a GewO erfolgreich abgelegt wurde",D) Mit dem Nachweis eines erfolgreich abgelegten Jurastudiums,.
6. Für welche Bewachungstätigkeiten benötigen Wachpersonen die Bescheinigung über das Unterrichtungsverfahren gemäß § 34a GewO?,A) Bewachung von zugangsgeschützten Großveranstaltungen in leitender Funktion,"B) Personenschutz, unabhängig von öffentlichem oder nicht-öffentlichem Verkehrsraum",C) Kontrollgänge auf U-Bahnhöfen und in S-Bahnen sowie in Empfangshallen von Flughäfen,D) Einsatz als sogenannte Wellenbrecher vor der Bühne zum Schutz der Musiker,.
"7. Wie muss der Gewerbetreibende die in seinem Betrieb beschäftigten Personen darüber aufklären, die ihnen in Ausübung des Dienstes bekannt gewordenen Geschäfts- und Betriebsgeheimnisse nicht unbefugt an Dritte weiterzugeben?",A) Er verpflichtet diese Personen vor der ersten Aufnahme der Bewachungs- tätigkeit zur Verschwiegenheit,B) Er belehrt diese Personen mündlich über die Pflicht zur Verschwiegenheit,C) Er weist diese Personen in der Dienstanweisung auf die Pflicht zur Verschwiegenheit hin,"D) Er macht diese Personen mittels eines Aushangs am „Schwarzen Brett"" auf die Verschwiegenheitspflicht aufmerksam",.
8. Die BewachV trifft Regelungen zum Tragen eines Kennschildes bzw. Namensschildes . Welche Aussagen hierzu sind richtig?,"A) Es muss bei allen Bewachungstätigkeiten sichtbar getragen werden, wenn es der Auftraggeber vertraglich vorschreibt",B) Es muss von allen Wachpersonen bei jeder Bewachungstätigkeit sichtbar getragen werden,C) Es muss entweder den Namen der Wachperson oder eine Kennnummer sowie den Namen des Gewerbetreibenden beinhalten,D) Das Kennschild muss bei der Bewachung zugangsgeschützter Großveranstaltungen sichtbar getragen werden,.
9. Welche Aussagen zur Videoüberwachung im Sinne des BDSG sind richtig?,A) Die Vorschriften des BDSG gelten auch für die Videoüberwachung innerhalb der Wohnung natürlicher Personen,"B) Die Videoüberwachung öffentlich zugänglicher Räume zur „Wahrnehmung des Hausrechts"" dient der Verhinderung und Aufklärung von Straftaten","C) Auf die Videoüberwachung muss hingewiesen werden. Ausreichend hierfür ist die Anbringung eines Bildsymbols „Videoüberwachung"" am Eingangsbereich",D) Die Videoüberwachung ist zulässig zur Überwachung des Verhaltens und der Arbeitsleistung von Beschäftigten,.
10. Auf der Festplatte eines Computers sind personenbezogene Daten gespeichert. Von welchem Straftatbestand des StGB wird der unbefugte Zugriff auf diese personenbezogenen Daten erfasst?,A) Unterschlagung (§ 246 StGB),B) Verletzung des Briefgeheimnisses (§ 202 StGB),C) Diebstahl (§ 242 StGB),D) Ausspähen von Daten (§ 202a StGB),.
