Frage,a,b,c,d,e
1. Welche Rechtsvorschriften sind als Gesetze eingestuft?,A) die Strafprozeßordnung,B) die Unfallverhütungsvorschrift DGUV Vorschrift 23,C) die Gewerbeordnung,D) die Bewachungsverordnung,.
2. Die Bundesrepublik Deutschland ist gemäß Grundgesetz ein Bundesstaat. Was bedeutet dies im Sinne des Föderalismus?,A) Im Bundesstaat sind die staatlichen Aufgaben zwischen Bund und Ländern aufgeteilt. Die Länder haben z.B. im Polizei und Sicherheitsrecht eigene Gesetzgebungskompetenzen,B) Der Bundesstaat wird zentral von der Hauptstadt Berlin aus regiert. Alle politischen Entscheidungen gelten einheitlich für die Bundesrepublik Deutschland,C) Nur der Bund als Zentralstaat darf Gesetze beschließen und verabschieden. Die Bundesländer müssen diese Gesetze ausführen,D) Die Bundesländer wirken über den Bundesrat bei der Gesetzgebung mit,.
3. Welche grundsätzlichen Aussagen zum Bundes- und Landesrecht in der Bundesrepublik Deutschland sind richtig?,A) Das Bundesrecht bricht Landesrecht,B) Das Landesrecht umfasst z.B. das Polizeirecht,C) Das Bundesrecht und das Landesrecht sind gleichgestellt,D) Das Bundesrecht betrifft nur das Straf- und Gewerberecht,.
4. Welche Grundrechte des Grundgesetzes sind Bürgerrechte?,A) Schutz der Menschenwürde,B) freie Berufswahl,C) Gleichheit vor dem Gesetz,D) Versammlungsfreiheit,.
"5. Welche Bewachungstätigkeiten dürfen Wachpersonen ausüben, die über einen Unterrichtungsnachweis gemäß BewachV verfügen?",A) Geld- und Werttransport,B) Schutz vor Ladendieben,C) Bewachung von zugangsgeschützten Großveranstaltungen in nicht leitender Funktion,D) Kontrollgänge im öffentlichen Verkehrsraum,.
6. Welche Hinweise müssen gemäß BewachV in der Dienstanweisung enthalten sein?,"A) Der Hinweis, dass Wachpersonen während des Dienstes nur mit Zustimmung des Gewerbetreibenden eine Schusswaffe, Hieb- und Stoßwaffen sowie Reizstoffsprühgeräte führen dürfen","B) Der Hinweis, dass die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beachtet werden muss","C) Der Hinweis, dass Sonderrechte im öffentlichen Straßenverkehr nur bei der Alarmverfolgung zulässig sind","D) Der Hinweis, dass Wachpersonen nicht die Eigenschaft und die Befugnisse von Polizeivollzugsbeamten oder sonstigen Bediensteten einer Behörde besitzen",.
7. Der Gewerbetreibende muss seinen Wachpersonen einen Ausweis ausstellen. Wozu sind die Wachpersonen gemäß BewachV im Umgang mit dem Bewacherausweis verpflichtet?,A) Sie müssen auf Verlangen jeder Person ihren Ausweis und ihren Personalausweis oder Reisepass vorzeigen,B) Sie müssen ihren Ausweis in Verbindung mit dem im Bewacherregister angegebenen Ausweis- oder ldentifizierungsdokument während des Wachdienstes mitführen,C) Sie müssen ihren Ausweis sichtbar tragen. Ausgenommen davon sind Ladendetektive,"D) Sie müssen ihren Ausweis auf Verlangen den Beauftragten der Vollzugsbehörden, z.B. Polizei- oder Zollbehörden, vorzeigen",.
8. Welche Personen können gemäß BewachV von der Sachkundeprüfung befreit werden?,"A) Personen, die am 31.03.1996 in einem Bewachungsunternehmen beschäftigt waren","B) Personen, die am 01.01.2003 seit mindestens drei Jahren ohne Unterbrechung und befugt im Bewachungsgewerbe sachkundepflichtige Tätigkeiten durchgeführt haben","C) Personen, die eine mit Erfolg abgelegte Abschlußprüfung als Geprüfter Meister für Schutz und Sicherheit nachweisen können","D) Personen, die eine Bescheinigung über die Unterrichtung nachweisen können und mindestens vier Jahre im Bewachungsgewerbe tätig waren",.
"9. Eine Wachperson het einen Fahrgast ohne gültigen Fahrschein angetroffen. Die Wachperson will die personenbezogenen Daten des Fahrgastes erheben. Was muss die Wachperson gemäß DS-GVO beachten, damit diese Maßnahme rechtmäßig ist?",A) Für diese Maßnahme muss eine Erlaubnis der zuständigen Sicherheitsbehörde vorliegen,B) Diese Vorgehensweise muss mit dem Auftraggeber vertraglich vereinbart sein,C) Der Fahrgast muss in die Erhebung seiner personenbezogenen Daten einwilligen,"D) Die Wachperson muss nachweisen können, dass der Fahrgast mit der Erhebung seiner Daten einverstanden war, z.B. durch eine schriftliche Erklärung",.
10. Welche Aussagen zur Videoüberwachung im Sinne des BDSG sind richtig?,A) Die Vorschriften des BDSG gelten auch für die Videoüberwachung innerhalb der Wohnung natürlicher Personen,"B) Die Videoüberwachung öffentlich zugänglicher Räume zur „Wahrnehmung des Hausrechts"" dient der Verhinderung und Aufklärung von Straftaten","C) Auf die Videoüberwachung muss hingewiesen werden. Ausreichend hierfür ist die Anbringung eines Bildsymbols ,,Videoüberwachung "" im Eingangsbereich",D) Die Videoüberwachung ist zulässig zur Überwachung des Verhaltens und der Arbeitsleistung von Beschäftigten,.
