Frage,a,b,c,d,e
"1. Was ist im Strafrecht, das zum öffentlichen Recht zählt, geregelt?",A) Die Anwendung von Besitzschutzrechten,B) Die Schuldunfähigkeit des Kindes,C) Die Stellung des Strafantrages,D) Die Pflicht zum Schadensersatz,E) Der Angriffsnotstand
"2. Welche Institutionen zählen zur „gesetzgebenden Gewalt""?",A) Die Staatsanwaltschaft,B) Der Bundestag,C) Der Bundesrat,D) Die Regierungen der Bundesländer,.
3. Der Bewachungsgewerbetreibende und seine Beschäftigten dürfen bei der Durchführung von Bewachungsaufgaben gegenüber Dritten bestimmte Rechte eigenverantwortlich ausüben. Um welche Rechte handelt es sich?,A) Gesetzlich übertragene Rechte aufgrund einer Beleihung,B) Beschlagnahme von Diebesgut,C) Verkehrsregelung nach Verkehrsunfällen,D) Notwehr- und Notstandsrechte,.
4. Im deutschen Rechtssystem sind Rechtfertigungsgründe verankert. Was ist deren Sinn und Zweck?,A) Sie können unerlaubtes Handeln rechtfertigen,B) Sie können verbotenes Handeln entschuldigen,C) Sie können strafbares Handeln rechtfertigen,D) Sie können ordnungswidriges Handeln entschuldigen,.
5. Wann besitzt in der Regel eine Wachperson gemäß § 34a GewO nicht die erforderliche Zuverlässigkeit?,A) Wenn sie wegen fahrlässiger Körperverletzung zu einer Geldstrafe von 90 Tagessätzen rechtskräftig verurteilt wurde,B) Wenn sie Mitglied in einer verfassungsfeindlichen Partei war und seit Beendigung der Mitgliedschaft zehn Jahre noch nicht verstrichen sind,C) Wenn sie wegen eines Vergehens gegen das WaffG rechtskräftig zu einer Freiheitsstrafe verurteilt wurde und seitdem noch keine fünf Jahre verstrichen sind,D) Wenn sie Mitglied in einer zugelassenen politischen Partei ist und aktiv die Verfolgung der politischen Ziele unterstützt,.
6. Welche Pflicht muss der Gewerbetreibende gemäß BewachV erfüllen?,A) Er muss zur Überprüfung der Zuverlässigkeit seiner Wachpersonen eine unbeschränkte Auskunft aus dem Bundeszentralregister einholen,"B) Er muss dafür sorgen, dass seine Wachpersonen die Sachkundeprüfung erfolgreich ablegen, damit sie Bewachungstätigkeiten wie Geld- und Werttransporte durchführen dürfen","C) Er muss seinen Wachpersonen Dienstkleidung zur Verfügung stellen, die bei allen Bewachungstätigkeiten getragen werden muss",D) Er muss seinen Wachpersonen spätestens vor der ersten Aufnahme der Bewachungstätigkeiten einen Ausweis ausstellen,.
7. Welche Angaben muss der Firmenausweis von Sicherheitsmitarbeitern gemäß BewachV enthalten?,"A) Gültigkeitsdauer, Lichtbild des Gewerbetreibenden; Name, Vorname des Sicherheitsmitarbeiters sowie seine Zugehörigkeit zur Gewerkschaft","B) Name, Vorname und Unterschrift des Sicherheitsmitarbeiters; Name, Anschrift und Unterschrift des Gewerbetreibenden oder seines Vertreters","C) Name, Vorname des Sicherheitsmitarbeiters; Gültigkeitsdauer des Ausweises, Privatanschrift und Geburtsdatum des Sicherheitsmitarbeiters","D) Bezeichnung und Anschrift des Gewerbebetriebes, Bewacherregister- identifikationsnummer des Gewerbebetriebes und der Wachperson",.
"8. Welche Voraussetzungen müssen erfüllt sein, damit die Erlaubnis für das Bewachungsgewerbe erteilt wird?",A) Ein schlüssiges Unternehmenskonzept,B) Zuverlässigkeit. IHK-Sachkunde,C) Nachweis über betriebswirtschaftliche Kenntnisse,D) Waffensachkundeprüfung,E) Finanzieller Mittelnachweis
9. Wozu muss der Unternehmer seine Sicherheitsmitarbeiter schriftlich verpflichten?,A) Datengeheimnis wahren,B) Alle eigenen personenbezogenen Daten gegenüber dem betrieblichen Datenschutzbeauftragten offenbaren,C) Besonders sensible personenbezogene Daten dürfen auch innerhalb des Betriebes nicht genutzt werden,D) Personenbezogene Daten nur an Geschäftspartner und Subunternehmer weitergeben,.
10. Unter welchen Voraussetzungen dürfen gemäß DS-GVO und BDSG personenbezogene Daten verarbeitet werden?,A) Wenn die betroffene Person ihre Einwilligung zur Verarbeitung der sie betreffenden personenbezogenen Daten für einen oder mehrere bestimmte Zwecke gegeben hat,B) Wenn der Verantwortliche eine Verarbeitung nach eigenem Ermessen für erforderlich hält,"C) Wenn der Betroffene zugestimmt hat. Die Zustimmung ist selbst dann erforderlich, wenn die Verarbeitung zur Erfüllung einer rechtlichen Verpflichtung erforderlich ist, z.B. für die Anmeldung einer Wachperson über das Bewacherregister","D) Wenn die Verarbeitung personenbezogener Daten automatisiert erfolgen soll, z.b. durch Computer. Die Einwilligung des Betroffenen ist nicht erforderlich, wenn die personenbezogenen Daten in Akten manuell verarbeitet werden",.
11. Müssen nicht öffentliche Stellen (Privatwirtschaft) gemäß DS-GVO und BDSG einen Datenschutzbeauftragten benennen?,"A) Ja, wenn sie in der Regel mindestens zehn Personen ständig mit der automatisierten Verarbeitung personenbezogener Daten beschäftigen","B) Ja, wenn sie z.B. personenbezogene Daten geschäftsmäßig für Zwecke der Markt- und Meinungsforschung verarbeiten","C) Ja, wenn sie im Unternehmen mindestens 200 gewerbliche Mitarbeiter beschäftigen","D) Ja, wenn sie im Unternehmen eine Videoüberwachungsanlage betreiben",.
12. Welche Aussagen zur DS-GVO sind richtig?,A) Sie gilt für die ganz oder teilweise automatisierte Verarbeitung personenbezogener Daten,"B) Sie gilt für die nichtautomatisierte Verarbeitung personenbezogener Daten, die in einem Dateisystem gespeichert sind oder gespeichert werden","C) Sie gilt für die familiäre Verarbeitung personenbezogener Daten, z.B. für das Führen von Anschriftenverzeichnissen, die keinen Bezug zu einer beruflichen Tätigkeit haben",D) Sie gilt für die Verarbeitung personenbezogener Daten durch die zuständigen Behörden zum Zwecke der Abwehr von Gefahren für die öffentliche Sicherheit,.
13. Zum Zweck der Selbsthilfe gemäß § 229 BGB kann der Verpflichtete festgenommen werden. Welche Aussagen dazu sind richtig?,"A) Die Festnahme des Schuldners setzt neben Fluchtverdacht voraus, dass obrigkeitliche Hilfe nicht rechtzeitig zu erlangen ist",B) Der Festgenommene darf zum Zweck der Eigensicherung nach Waffen und gefährlichen Gegenständen durchsucht werden,"C) Die Selbsthilfehandlung darf nicht weiter gehen, als zur Abwendung der Gefahr der Verwirklichung des Anspruchs erforderlich ist","D) Der Festgenommene muss erst dann freigelassen werden, wenn es das zuständige Amtsgericht anordnet",.
