Frage,a,b,c,d,e
1. Welche grundsätzlichen Aussagen zum Bundes- und Landesrecht in der Bundesrepublik Deutschland sind richtig?,A) Das Bundesrecht bricht Landesrecht,"B) Die Länder besitzen das Recht der Gesetzgebung, soweit das Grundgesetz nicht dem Bund Gesetzgebungsbefugnisse verleiht",C) Das Bundesrecht und das Landesrecht sind gleichgestellt,D) Das Bundesrecht betrifft nur das Straf- und Gewerberecht,.
2. Welche Aussage zur inneren Sicherheit ist richtig?,A) Die Gewährleistung der inneren Sicherheit und Ordnung ist eine der wichtigsten Aufgaben von privaten Sicherheitsdiensten,B) Für die Abwehr von Gefahren ist jeder Bürger stets selber verantwortlich und hat die erforderlichen Gegenmaßnahmen zu treffen,"C) Die Gewährleistung der inneren Sicherheit, insbesondere die Abwehr von Gefahren, ist in erster Linie eine staatliche Angelegenheit",D) Der einzelne Bürger braucht für die Durchsetzung seiner Rechte die staatliche Hilfe nicht in Anspruch zu nehmen,.
3. Was unterscheidet die Polizei vom Sicherheitsgewerbe?,A) Die Polizei ist Ländersache. Sie arbeitet auf der Grundlage der Polizeigesetze der Länder,B) Das Sicherheitsgewerbe erfüllt nur Präventivaufgaben,C) Das Sicherheitsgewerbe wird im privaten Bereich tätig,D) Private Sicherheitsmitarbeiter haben den Status von Hilfsbeamten der Staatsanwaltschaft,.
4. Darf der Staat mit Zwang in die verfassungsrechtlich garantierten Grundrechte der Bürger eingreifen?,"A) Ja, wenn es zur Durchsetzung politischer Interessen notwendig ist","B) Ja, wenn das Grundgesetz Eingriffe in Grundrechte aufgrund von Gesetzen zulässt","C) Ja, wenn es der Bundespräsident oder die Bundeskanzlerin anordnet","D) Nein, weil die Grundrechte Abwehrrechte gegen den Staat sind",.
5. Welche Angaben muss der Ausweis gemäß BewachV beinhalten?,A) Geburtsdatum der Wachperson,B) Namen und Anschrift des Gewerbetreibenden,C) Bewacherregisteridentifikationsnummern der Wachperson und des Bewachungsunternehmens,D) Wohnanschrift der Wachperson,E) Unterschrift des Auftraggebers
6. Wann besitzt in der Regel eine Wachperson gemäß § 34a GewO nicht die erforderliche Zuverlässigkeit?,A) Wenn sie wegen fahrlässiger Körperverletzung zu einer Geldstrafe von 90 Tagessätzen rechtskräftig verurteilt wurde,B) Wenn sie Mitglied in einer verfassungswidrigen Partei war und seit Beendigung der Mitgliedschaft zehn Jahre noch nicht verstrichen sind,C) Wenn sie wegen eines Vergehens gegen das WaffG rechtskräftig zu einer Freiheitsstrafe verurteilt wurde und seitdem noch keine fünf Jahre verstrichen sind,D) Wenn sie Mitglied in einer zugelassenen politischen Partei ist und aktiv die Verfolgung der politischen Ziele unterstützt,.
7. Gemäß BewachV muss der Gewerbetreibende den Wachdienst durch eine Dienstanweisung regeln. Welche Hinweise müssen in der Dienstanweisung enthalten sein?,"A) Der Hinweis, dass Wachpersonen nicht die Eigenschaft und die Befugnisse von Polizeivollzugsbeamten oder sonstigen Bediensteten einer Behörde besitzen","B) Der Hinweis, dass Wachpersonen während des Dienstes nur mit Zustimmung des Gewerbetreibenden eine Schusswaffe, Hieb- und Stoßwaffen sowie Reizstoffsprühgeräte führen dürfen","C) Der Hinweis, dass Wachpersonen bei allen Bewachungstätigkeiten mit Ausnahme der Tätigkeit „Schutz vor Ladendieben"" Dienstkleidung tragen müssen","D) Der Hinweis, dass Wachpersonen bei allen Bewachungstätigkeiten ein Namensschild tragen müssen",.
"8. Wer beabsichtigt, ein Bewachungsgewerbe auszuüben, bedarf einer Erlaubnis. Wann wird diese Erlaubnis gemäß GewO versagt?",A) Wenn der Antragsteller nicht über die erforderliche Zuverlässigkeit verfügt,B) Wenn der Antragsteller das 21. Lebensjahr noch nicht vollendet hat,C) Wenn der Antragsteller in ungeordneten Vermögensverhältnissen lebt,D) Wenn der Antragsteller nicht die deutsche Staatsangehörigkeit besitzt,.
"9. Was sind „personenbezogene Daten"" im Sinne der DS-GVO?","A) Alle Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen","B) Anonyme Informationen über natürliche Personen, die für statistische oder für Forschungszwecke verwendet werden","C) Alle personenbezogenen Daten, die durch Pseudonymisierung so verarbeitet wurden, dass sie ohne zusätzliche Informationen nicht mehr einer bestimmten Person zugeordnet werden können","D) Alle Informationen, die sich auf eine identifizierte oder identifizierbare juristische Person beziehen",.
10. Wann muss gemäß DS-GVO der Verantwortliche die personenbezogenen Daten des Betroffenen unverzüglich löschen?,A) Wenn diese Daten von vornherein unrechtmäßig verarbeitet wurden,B) Wenn diese Daten zur Ausübung des Rechts auf freie Meinungsäußerung verwendet werden,"C) Wenn diese Daten verwendet werden, um Rechtsansprüche durchzusetzen",D) Wenn die betroffene Person ihre Einwilligung widerruft und es an einer anderweitigen Rechtsgrundlage für die Verarbeitung fehlt,.
"11. Wann ist die Videoüberwachung gemäß BDSG zulässig, sofern die schutzwürdigen Interessen der Betroffenen nicht überwiegen?",A) Wenn es der Wahrnehmung des Hausrechts dient,B) Wenn es der Aufgabenerfüllung öffentlicher Stellen dient,C) Wenn es der Überwachung der Arbeitszeiten der Beschäftigten dient,D) Wenn es der Auswertung der Arbeitsleistung der Mitarbeiter dient,.
